E_1 / keV,n_1,Cs_137,Am-241,Co_57
855.4,261,1037,0,7
858.6,262,1041,0,9
861.9,263,1086,0,14
865.2,264,960,1,7
868.5,265,1112,1,15
871.7,266,1011,2,15
875,267,1058,0,10
878.3,268,1055,1,10
881.6,269,1068,0,4
884.9,270,1024,1,10
888.1,271,1073,2,9
891.4,272,1036,1,8
894.7,273,1001,0,10
898,274,1065,1,4
901.2,275,1056,0,12
904.5,276,1010,2,10
907.8,277,1056,0,10
911.1,278,1038,2,8
914.3,279,1079,1,10
917.6,280,972,1,10
920.9,281,999,0,7
924.2,282,979,0,11
927.5,283,1014,0,5
930.7,284,1002,0,6
934,285,987,0,7
937.3,286,1032,0,9
940.6,287,1044,0,7
943.8,288,1007,0,10
947.1,289,976,0,5
950.4,290,1091,2,10
953.7,291,978,0,9
957,292,1020,0,14
960.2,293,1044,1,5
963.5,294,1006,0,8
966.8,295,993,0,7
970.1,296,997,0,8
973.3,297,996,1,10
976.6,298,1009,0,9
979.9,299,955,2,4
983.2,300,984,2,12
986.4,301,953,1,2
989.7,302,902,0,9
993,303,992,1,9
996.3,304,928,0,5
999.6,305,981,0,4
1002.8,306,937,2,9
1006.1,307,935,1,4
1009.4,308,969,2,8
1012.7,309,970,1,4
1015.9,310,941,2,9
1019.2,311,911,0,7
1022.5,312,935,0,10
1025.8,313,977,0,5
1029,314,929,0,8
1032.3,315,931,2,2
1035.6,316,938,0,10
1038.9,317,903,2,8
1042.2,318,944,1,9
1045.4,319,916,0,8
1048.7,320,916,0,6
1052,321,891,0,3
1055.3,322,888,0,11
1058.5,323,900,0,7
1061.8,324,910,2,9
1065.1,325,872,0,8
1068.4,326,872,0,10
1071.7,327,866,1,4
1074.9,328,864,1,9
1078.2,329,898,0,3
1081.5,330,928,1,9
1084.8,331,917,0,5
1088,332,880,1,8
1091.3,333,803,1,7
1094.6,334,815,0,6
1097.9,335,852,4,10
1101.1,336,876,1,6
1104.4,337,842,0,8
1107.7,338,818,0,9
1111,339,824,1,4
1114.3,340,794,0,5
1117.5,341,822,1,7
1120.8,342,820,0,4
1124.1,343,845,0,4
1127.4,344,856,0,2
1130.6,345,818,0,3
1133.9,346,854,1,4
1137.2,347,816,0,0
1140.5,348,862,0,4
1143.8,349,795,0,6
1147,350,778,0,5
1150.3,351,756,1,2
1153.6,352,807,0,6
1156.9,353,785,1,4
1160.1,354,764,0,4
1163.4,355,791,1,4
1166.7,356,827,3,5
1170,357,798,1,2
1173.2,358,847,0,5
1176.5,359,802,0,5
1179.8,360,741,0,6
1183.1,361,819,0,6
1186.4,362,729,0,4
1189.6,363,785,1,5
1192.9,364,802,1,4
1196.2,365,747,1,5
1199.5,366,756,0,6
1202.7,367,747,0,7
1206,368,748,0,3
1209.3,369,750,0,5
1212.6,370,799,1,4
1215.9,371,721,0,6
1219.1,372,731,0,2
1222.4,373,794,0,2
1225.7,374,740,1,6
1229,375,768,0,5
1232.2,376,750,0,7
1235.5,377,773,2,6
1238.8,378,733,0,4
1242.1,379,751,0,3
1245.3,380,698,0,3
1248.6,381,746,2,10
1251.9,382,759,1,3
1255.2,383,815,0,2
1258.5,384,755,1,5
1261.7,385,814,0,3
1265,386,813,0,3
1268.3,387,743,1,6
1271.6,388,760,1,4
1274.8,389,706,1,2
1278.1,390,747,0,6
1281.4,391,718,0,7
1284.7,392,690,1,4
1288,393,713,1,4
1291.2,394,657,0,5
1294.5,395,690,0,2
1297.8,396,711,0,0
1301.1,397,668,1,6
1304.3,398,601,0,5
1307.6,399,652,1,4
1310.9,400,612,1,4
1314.2,401,652,2,4
1317.4,402,685,0,7
1320.7,403,621,1,6
1324,404,635,0,1
1327.3,405,591,0,8
1330.6,406,670,1,6
1333.8,407,621,0,4
1337.1,408,585,0,3
1340.4,409,557,0,2
1343.7,410,524,1,1
1346.9,411,581,0,5
1350.2,412,552,0,4
1353.5,413,485,1,10
1356.8,414,506,2,9
1360,415,472,1,7
1363.3,416,497,1,7
1366.6,417,472,0,8
1369.9,418,474,0,9
1373.2,419,478,0,2
1376.4,420,448,1,5
1379.7,421,397,0,8
1383,422,442,1,7
1386.3,423,426,1,7
1389.5,424,369,0,3
1392.8,425,379,0,4
1396.1,426,379,0,7
1399.4,427,357,0,2
1402.7,428,347,0,2
1405.9,429,328,0,3
1409.2,430,324,0,1
1412.5,431,306,0,6
1415.8,432,342,1,5
1419,433,293,0,6
1422.3,434,297,0,3
1425.6,435,250,1,6
1428.9,436,276,1,4
1432.1,437,274,0,6
1435.4,438,282,0,6
1438.7,439,257,0,5
1442,440,235,0,3
1445.3,441,244,0,2
1448.5,442,228,1,3
1451.8,443,238,1,4
1455.1,444,207,0,4
1458.4,445,205,0,1
1461.6,446,226,0,1
1464.9,447,219,0,4
1468.2,448,217,0,2
1471.5,449,223,3,3
1474.8,450,202,0,1
1478,451,207,0,3
1481.3,452,204,1,8
1484.6,453,185,0,1
1487.9,454,198,0,2
1491.1,455,197,0,4
1494.4,456,193,1,1
1497.7,457,207,1,4
1501,458,178,0,3
1504.2,459,181,1,4
1507.5,460,164,1,1
1510.8,461,169,0,2
1514.1,462,165,0,3
1517.4,463,175,1,3
1520.6,464,176,0,1
1523.9,465,179,1,1
1527.2,466,152,1,2
1530.5,467,159,0,2
1533.7,468,169,0,2
1537,469,162,0,2
1540.3,470,150,0,1
1543.6,471,159,0,3
1546.9,472,166,1,2
1550.1,473,139,0,2
1553.4,474,153,0,1
1556.7,475,156,1,2
1560,476,151,1,2
1563.2,477,157,0,3
1566.5,478,151,0,1
1569.8,479,152,0,5
1573.1,480,150,0,1
1576.3,481,144,0,2
1579.6,482,143,0,4
1582.9,483,141,0,0
1586.2,484,143,0,2
1589.5,485,139,1,2
1592.7,486,125,0,2
1596,487,155,1,1
