E_1 / keV,n_1,Cs_137,Am-241,Co_57
3575.5,1091,0,0,0
3578.7,1092,0,0,0
3582,1093,0,0,0
3585.3,1094,0,0,0
3588.6,1095,0,0,0
3591.8,1096,0,0,0
3595.1,1097,0,0,0
3598.4,1098,0,0,0
3601.7,1099,0,0,0
3605,1100,0,0,0
3608.2,1101,0,0,0
3611.5,1102,0,0,0
3614.8,1103,0,0,0
3618.1,1104,0,0,0
3621.3,1105,0,0,0
3624.6,1106,0,0,0
3627.9,1107,0,0,0
3631.2,1108,0,0,0
3634.4,1109,0,0,0
3637.7,1110,0,0,0
3641,1111,0,0,0
3644.3,1112,0,0,0
3647.6,1113,0,0,0
3650.8,1114,0,0,0
3654.1,1115,0,0,0
3657.4,1116,0,0,0
3660.7,1117,0,0,0
3663.9,1118,0,0,0
3667.2,1119,0,0,0
3670.5,1120,0,0,0
3673.8,1121,0,0,0
3677,1122,0,0,0
3680.3,1123,0,0,0
3683.6,1124,0,0,0
3686.9,1125,0,0,0
3690.2,1126,0,0,0
3693.4,1127,0,0,0
3696.7,1128,0,0,0
3700,1129,0,0,0
3703.3,1130,0,0,0
3706.5,1131,0,0,0
3709.8,1132,0,0,0
3713.1,1133,0,0,0
3716.4,1134,0,0,0
3719.7,1135,0,0,0
3722.9,1136,0,0,0
3726.2,1137,0,0,0
3729.5,1138,0,0,0
3732.8,1139,0,0,0
3736,1140,0,0,0
3739.3,1141,0,0,1
3742.6,1142,0,0,0
3745.9,1143,0,0,0
3749.1,1144,0,0,0
3752.4,1145,0,0,0
3755.7,1146,0,0,0
3759,1147,0,0,0
3762.3,1148,0,0,0
3765.5,1149,0,0,0
3768.8,1150,0,0,0
3772.1,1151,0,0,0
3775.4,1152,0,0,0
3778.6,1153,0,0,0
3781.9,1154,0,0,0
3785.2,1155,0,0,0
3788.5,1156,0,0,0
3791.8,1157,0,0,0
3795,1158,0,0,0
3798.3,1159,0,0,0
3801.6,1160,0,0,0
3804.9,1161,0,0,1
3808.1,1162,0,0,0
3811.4,1163,0,0,0
3814.7,1164,0,0,0
3818,1165,0,0,0
3821.2,1166,0,0,0
3824.5,1167,0,0,0
3827.8,1168,0,0,0
3831.1,1169,0,0,0
3834.4,1170,0,0,0
3837.6,1171,0,0,0
3840.9,1172,0,0,0
3844.2,1173,0,0,0
3847.5,1174,0,0,0
3850.7,1175,0,0,0
3854,1176,0,0,0
3857.3,1177,0,0,0
3860.6,1178,0,0,0
3863.9,1179,0,0,0
3867.1,1180,0,0,0
3870.4,1181,0,0,0
3873.7,1182,0,0,0
3877,1183,0,0,0
3880.2,1184,0,0,1
3883.5,1185,0,0,0
3886.8,1186,0,0,0
3890.1,1187,0,0,0
3893.3,1188,0,0,0
3896.6,1189,0,0,1
3899.9,1190,0,0,0
3903.2,1191,0,0,0
3906.5,1192,0,0,0
3909.7,1193,0,0,0
3913,1194,0,0,0
3916.3,1195,0,0,0
3919.6,1196,0,0,0
3922.8,1197,0,0,0
3926.1,1198,0,0,0
3929.4,1199,0,0,0
3932.7,1200,0,0,0
3936,1201,0,0,0
3939.2,1202,0,0,0
3942.5,1203,0,0,0
3945.8,1204,0,0,0
3949.1,1205,0,0,0
3952.3,1206,0,0,0
3955.6,1207,0,0,0
3958.9,1208,0,0,0
3962.2,1209,0,0,0
3965.4,1210,0,0,0
3968.7,1211,0,0,0
3972,1212,0,0,0
3975.3,1213,0,0,0
3978.6,1214,0,0,0
3981.8,1215,0,0,0
3985.1,1216,0,0,0
3988.4,1217,0,0,0
3991.7,1218,0,0,0
3994.9,1219,0,0,0
3998.2,1220,0,0,0
4001.5,1221,0,0,0
4004.8,1222,0,1,0
4008,1223,0,0,0
4011.3,1224,0,0,0
4014.6,1225,0,0,0
4017.9,1226,0,0,0
4021.2,1227,0,0,0
4024.4,1228,0,0,0
4027.7,1229,0,0,0
4031,1230,0,0,0
4034.3,1231,0,0,0
4037.5,1232,0,0,0
4040.8,1233,0,0,0
4044.1,1234,0,0,0
4047.4,1235,0,0,0
4050.7,1236,0,0,0
4053.9,1237,0,0,0
4057.2,1238,0,0,0
4060.5,1239,0,0,0
4063.8,1240,0,0,0
4067,1241,0,0,0
4070.3,1242,0,0,0
4073.6,1243,0,0,1
4076.9,1244,0,0,0
4080.1,1245,0,0,0
4083.4,1246,0,0,0
4086.7,1247,0,0,0
4090,1248,0,0,0
4093.3,1249,0,0,0
4096.5,1250,0,0,0
4099.8,1251,0,0,0
4103.1,1252,0,0,0
4106.4,1253,0,0,0
4109.6,1254,0,0,0
4112.9,1255,0,0,0
4116.2,1256,0,0,0
4119.5,1257,0,0,0
4122.8,1258,0,0,0
4126,1259,0,0,0
4129.3,1260,0,0,0
4132.6,1261,0,0,0
4135.9,1262,0,0,0
4139.1,1263,0,0,0
4142.4,1264,0,0,0
4145.7,1265,0,0,0
4149,1266,0,0,0
4152.2,1267,0,0,0
4155.5,1268,0,0,0
4158.8,1269,0,0,0
4162.1,1270,0,0,0
4165.4,1271,0,0,0
4168.6,1272,0,0,0
4171.9,1273,0,0,0
4175.2,1274,0,0,0
4178.5,1275,0,0,0
4181.7,1276,0,0,0
4185,1277,0,0,0
4188.3,1278,0,0,0
4191.6,1279,0,0,0
4194.9,1280,0,0,0
4198.1,1281,0,0,0
4201.4,1282,0,0,0
4204.7,1283,0,0,0
4208,1284,0,0,0
4211.2,1285,0,0,0
4214.5,1286,0,0,0
4217.8,1287,0,0,0
4221.1,1288,0,0,0
4224.3,1289,0,0,0
4227.6,1290,0,0,0
4230.9,1291,0,0,0
4234.2,1292,0,0,0
4237.5,1293,0,0,0
4240.7,1294,0,0,0
4244,1295,0,0,0
4247.3,1296,0,0,0
4250.6,1297,0,0,0
4253.8,1298,0,0,0
4257.1,1299,0,0,0
4260.4,1300,0,0,0
4263.7,1301,0,0,0
4267,1302,0,0,0
4270.2,1303,0,0,0
4273.5,1304,0,0,0
4276.8,1305,0,0,0
4280.1,1306,0,0,0
4283.3,1307,0,0,0
4286.6,1308,0,0,0
4289.9,1309,0,0,0
4293.2,1310,0,0,0
4296.4,1311,0,0,0
4299.7,1312,0,0,0
4303,1313,0,0,0
4306.3,1314,0,0,1
4309.6,1315,0,0,0
4312.8,1316,0,0,0
4316.1,1317,0,0,0
4319.4,1318,0,0,0
4322.7,1319,0,0,0
4325.9,1320,0,0,0
4329.2,1321,0,0,0
4332.5,1322,0,0,0
4335.8,1323,0,0,0
4339,1324,0,0,0
4342.3,1325,0,0,0
4345.6,1326,0,0,0
4348.9,1327,0,0,0
4352.2,1328,0,0,1
4355.4,1329,0,0,0
4358.7,1330,0,0,0
4362,1331,0,0,0
4365.3,1332,0,0,0
4368.5,1333,0,0,0
4371.8,1334,0,0,0
4375.1,1335,0,0,0
4378.4,1336,0,0,0
4381.7,1337,0,0,0
4384.9,1338,0,0,0
4388.2,1339,0,0,0
4391.5,1340,0,0,0
4394.8,1341,0,0,0
4398,1342,0,0,0
4401.3,1343,0,0,0
4404.6,1344,0,0,0
4407.9,1345,0,0,0
4411.1,1346,0,0,0
4414.4,1347,0,0,0
4417.7,1348,0,0,0
4421,1349,0,0,0
4424.3,1350,0,0,1
4427.5,1351,0,0,0
4430.8,1352,0,0,0
4434.1,1353,0,0,0
4437.4,1354,0,0,0
4440.6,1355,0,0,0
4443.9,1356,0,0,0
4447.2,1357,0,0,0
4450.5,1358,0,0,0
4453.8,1359,0,0,0
4457,1360,0,0,0
4460.3,1361,0,0,0
4463.6,1362,0,0,0
4466.9,1363,0,0,0
4470.1,1364,0,0,0
4473.4,1365,0,0,0
4476.7,1366,0,0,0
4480,1367,0,0,0
4483.2,1368,0,0,0
4486.5,1369,0,0,0
4489.8,1370,0,0,0
4493.1,1371,0,0,0
4496.4,1372,0,0,0
4499.6,1373,0,0,0
4502.9,1374,0,0,0
4506.2,1375,0,0,0
4509.5,1376,0,0,0
4512.7,1377,0,0,0
4516,1378,0,0,0
4519.3,1379,0,0,1
4522.6,1380,0,0,0
4525.9,1381,0,0,0
4529.1,1382,0,0,0
4532.4,1383,0,0,0
4535.7,1384,0,0,0
4539,1385,0,0,0
4542.2,1386,0,0,0
4545.5,1387,0,0,0
4548.8,1388,0,0,0
4552.1,1389,0,0,0
4555.3,1390,0,0,0
4558.6,1391,0,0,0
4561.9,1392,0,0,1
4565.2,1393,0,0,0
4568.5,1394,0,0,0
4571.7,1395,0,0,0
4575,1396,0,0,0
4578.3,1397,0,0,0
4581.6,1398,0,0,0
4584.8,1399,0,0,0
4588.1,1400,0,0,0
4591.4,1401,0,0,0
4594.7,1402,0,0,0
4598,1403,0,0,0
4601.2,1404,0,0,0
4604.5,1405,0,0,0
4607.8,1406,0,0,0
4611.1,1407,0,0,0
4614.3,1408,0,0,0
4617.6,1409,0,0,0
4620.9,1410,0,0,1
4624.2,1411,0,0,0
4627.4,1412,0,0,0
4630.7,1413,0,0,0
4634,1414,0,0,0
4637.3,1415,0,0,0
4640.6,1416,0,0,0
4643.8,1417,0,0,0
4647.1,1418,0,0,1
4650.4,1419,0,0,1
4653.7,1420,0,0,0
4656.9,1421,0,0,0
4660.2,1422,0,0,0
4663.5,1423,0,0,0
4666.8,1424,0,0,0
4670,1425,0,0,0
4673.3,1426,0,0,0
4676.6,1427,0,0,0
4679.9,1428,0,0,0
4683.2,1429,0,0,0
4686.4,1430,0,0,0
4689.7,1431,0,0,0
4693,1432,0,0,0
4696.3,1433,0,0,0
4699.5,1434,0,0,0
4702.8,1435,0,0,0
4706.1,1436,0,0,0
4709.4,1437,0,0,0
4712.7,1438,0,0,0
4715.9,1439,0,0,0
4719.2,1440,0,0,0
4722.5,1441,0,0,0
4725.8,1442,0,0,0
4729,1443,0,0,0
4732.3,1444,0,0,0
4735.6,1445,0,0,0
4738.9,1446,0,0,0
4742.1,1447,0,0,0
4745.4,1448,0,0,0
4748.7,1449,0,0,0
4752,1450,0,0,0
4755.3,1451,0,0,0
4758.5,1452,0,0,0
4761.8,1453,0,0,0
4765.1,1454,0,0,0
4768.4,1455,0,0,0
4771.6,1456,0,0,0
4774.9,1457,0,0,0
4778.2,1458,0,0,0
4781.5,1459,0,0,0
4784.8,1460,0,0,0
4788,1461,0,0,0
4791.3,1462,0,0,0
4794.6,1463,0,0,0
4797.9,1464,0,0,0
4801.1,1465,0,0,0
4804.4,1466,0,0,0
4807.7,1467,0,0,0
4811,1468,0,0,1
4814.2,1469,0,0,0
4817.5,1470,0,0,0
4820.8,1471,0,0,0
4824.1,1472,0,0,0
4827.4,1473,0,0,0
4830.6,1474,0,0,0
4833.9,1475,0,0,0
4837.2,1476,0,0,0
4840.5,1477,0,0,0
4843.7,1478,0,0,0
4847,1479,0,0,0
4850.3,1480,0,0,1
4853.6,1481,0,0,0
4856.9,1482,0,0,0
4860.1,1483,0,0,0
4863.4,1484,0,0,0
4866.7,1485,0,0,0
4870,1486,0,0,0
4873.2,1487,0,0,0
4876.5,1488,0,0,0
4879.8,1489,0,0,0
4883.1,1490,0,0,0
4886.3,1491,0,0,0
4889.6,1492,0,0,0
4892.9,1493,0,0,0
4896.2,1494,0,0,0
4899.5,1495,0,0,0
4902.7,1496,0,0,0
4906,1497,0,0,0
4909.3,1498,0,0,0
4912.6,1499,0,0,0
4915.8,1500,0,0,0
4919.1,1501,0,0,0
4922.4,1502,0,0,0
4925.7,1503,0,0,0
4929,1504,0,0,0
4932.2,1505,0,0,0
4935.5,1506,0,0,0
4938.8,1507,0,0,0
4942.1,1508,0,0,0
4945.3,1509,0,0,0
4948.6,1510,0,0,0
4951.9,1511,0,0,0
4955.2,1512,0,0,0
4958.4,1513,0,0,0
4961.7,1514,0,0,0
4965,1515,0,0,0
4968.3,1516,0,0,0
4971.6,1517,0,0,0
4974.8,1518,0,0,0
4978.1,1519,0,0,0
4981.4,1520,0,0,0
4984.7,1521,0,0,0
4987.9,1522,0,0,0
4991.2,1523,0,0,1
4994.5,1524,0,0,0
4997.8,1525,0,0,0
5001,1526,0,0,0
5004.3,1527,0,0,0
5007.6,1528,0,0,0
5010.9,1529,0,0,0
5014.2,1530,0,0,0
5017.4,1531,0,0,0
5020.7,1532,0,0,0
5024,1533,0,0,0
5027.3,1534,0,0,0
5030.5,1535,0,0,0
5033.8,1536,0,0,0
5037.1,1537,0,0,0
5040.4,1538,0,0,0
5043.7,1539,0,0,0
5046.9,1540,0,0,0
5050.2,1541,0,0,0
5053.5,1542,0,0,0
5056.8,1543,0,0,0
5060,1544,0,0,0
5063.3,1545,0,0,0
5066.6,1546,0,0,0
5069.9,1547,0,0,0
5073.1,1548,0,0,0
5076.4,1549,0,0,0
5079.7,1550,0,0,0
5083,1551,0,0,0
5086.3,1552,0,0,0
5089.5,1553,0,0,0
5092.8,1554,0,0,0
5096.1,1555,0,0,0
5099.4,1556,0,0,0
5102.6,1557,0,0,0
5105.9,1558,0,0,0
5109.2,1559,0,0,0
5112.5,1560,0,0,1
5115.8,1561,0,0,0
5119,1562,0,0,0
5122.3,1563,0,0,0
5125.6,1564,0,0,0
5128.9,1565,0,0,1
5132.1,1566,0,0,0
5135.4,1567,0,0,0
5138.7,1568,0,0,0
5142,1569,0,0,0
5145.2,1570,0,0,0
5148.5,1571,0,0,0
5151.8,1572,0,0,0
5155.1,1573,0,0,0
5158.4,1574,0,0,0
5161.6,1575,0,0,0
5164.9,1576,0,0,0
5168.2,1577,0,0,0
5171.5,1578,0,0,1
5174.7,1579,0,0,0
5178,1580,0,0,0
5181.3,1581,0,0,0
5184.6,1582,0,0,0
5187.9,1583,0,0,0
5191.1,1584,0,0,0
5194.4,1585,0,0,0
5197.7,1586,0,0,0
5201,1587,0,0,0
5204.2,1588,0,0,0
5207.5,1589,0,0,0
5210.8,1590,0,0,0
5214.1,1591,0,0,0
5217.3,1592,0,0,0
5220.6,1593,0,0,0
5223.9,1594,0,0,0
5227.2,1595,0,0,0
5230.5,1596,0,0,0
5233.7,1597,0,0,0
5237,1598,0,0,0
5240.3,1599,0,0,0
5243.6,1600,0,0,0
5246.8,1601,0,0,0
5250.1,1602,0,0,0
5253.4,1603,0,0,0
5256.7,1604,0,0,0
5260,1605,0,0,0
5263.2,1606,0,0,0
5266.5,1607,0,0,0
5269.8,1608,0,0,1
5273.1,1609,0,0,0
5276.3,1610,0,0,0
5279.6,1611,0,0,0
5282.9,1612,0,0,0
5286.2,1613,0,0,0
5289.4,1614,0,0,0
5292.7,1615,0,0,0
5296,1616,0,0,0
5299.3,1617,0,0,0
5302.6,1618,0,0,0
5305.8,1619,0,0,0
5309.1,1620,0,0,0
5312.4,1621,0,0,0
5315.7,1622,0,0,0
5318.9,1623,0,0,0
5322.2,1624,0,0,0
5325.5,1625,0,0,0
5328.8,1626,0,0,0
5332,1627,0,0,0
5335.3,1628,0,0,0
5338.6,1629,0,0,0
5341.9,1630,0,0,0
5345.2,1631,0,0,0
5348.4,1632,0,0,0
5351.7,1633,0,0,0
5355,1634,0,0,0
5358.3,1635,0,0,0
5361.5,1636,0,0,0
5364.8,1637,0,0,0
5368.1,1638,0,0,0
5371.4,1639,0,0,0
5374.7,1640,0,0,0
5377.9,1641,0,0,0
5381.2,1642,0,0,0
5384.5,1643,0,0,0
5387.8,1644,0,0,0
5391,1645,0,0,0
5394.3,1646,0,0,0
5397.6,1647,0,0,0
5400.9,1648,0,0,0
5404.1,1649,0,0,0
5407.4,1650,0,0,0
5410.7,1651,0,0,0
5414,1652,0,0,0
5417.3,1653,0,0,0
5420.5,1654,0,0,0
5423.8,1655,0,0,0
5427.1,1656,0,0,0
5430.4,1657,0,0,0
5433.6,1658,0,0,0
5436.9,1659,0,0,0
5440.2,1660,0,0,1
5443.5,1661,0,0,0
5446.8,1662,0,0,0
5450,1663,0,0,0
5453.3,1664,0,0,0
5456.6,1665,0,0,0
5459.9,1666,0,0,0
5463.1,1667,0,0,0
5466.4,1668,0,0,0
5469.7,1669,0,0,0
5473,1670,0,0,0
5476.2,1671,0,0,0
5479.5,1672,0,0,0
5482.8,1673,0,0,0
5486.1,1674,0,0,0
5489.4,1675,0,0,0
5492.6,1676,0,0,0
5495.9,1677,0,0,0
5499.2,1678,0,0,0
5502.5,1679,0,0,0
5505.7,1680,0,0,0
5509,1681,0,0,0
5512.3,1682,0,0,0
5515.6,1683,0,0,0
5518.9,1684,0,0,0
5522.1,1685,0,0,1
5525.4,1686,0,0,0
5528.7,1687,0,0,0
5532,1688,0,0,0
5535.2,1689,0,0,0
5538.5,1690,0,0,0
5541.8,1691,0,0,0
5545.1,1692,0,0,0
5548.3,1693,0,0,0
5551.6,1694,0,0,0
5554.9,1695,0,0,0
5558.2,1696,0,0,0
5561.5,1697,0,0,1
5564.7,1698,0,0,1
5568,1699,0,0,0
5571.3,1700,0,0,0
5574.6,1701,0,0,0
5577.8,1702,0,0,0
5581.1,1703,0,0,0
5584.4,1704,0,0,0
5587.7,1705,0,0,0
5591,1706,0,0,0
5594.2,1707,0,0,0
5597.5,1708,0,0,0
5600.8,1709,0,0,0
5604.1,1710,0,0,0
5607.3,1711,0,0,0
5610.6,1712,0,0,0
5613.9,1713,0,0,0
5617.2,1714,0,0,0
5620.4,1715,0,0,0
5623.7,1716,0,0,0
5627,1717,0,0,0
5630.3,1718,0,0,0
5633.6,1719,0,0,0
5636.8,1720,0,0,0
5640.1,1721,0,0,0
5643.4,1722,0,0,0
5646.7,1723,0,0,1
5649.9,1724,0,0,0
5653.2,1725,0,0,0
5656.5,1726,0,0,0
5659.8,1727,0,0,0
5663,1728,0,0,0
5666.3,1729,0,0,0
5669.6,1730,0,0,0
5672.9,1731,0,0,0
5676.2,1732,0,0,0
5679.4,1733,0,0,0
5682.7,1734,0,0,0
5686,1735,0,0,0
5689.3,1736,0,0,0
5692.5,1737,0,0,0
5695.8,1738,0,0,0
5699.1,1739,0,0,0
5702.4,1740,0,0,0
5705.7,1741,0,0,0
5708.9,1742,0,0,0
5712.2,1743,0,0,2
5715.5,1744,0,0,0
5718.8,1745,0,0,0
5722,1746,0,0,0
5725.3,1747,0,0,0
5728.6,1748,0,0,0
5731.9,1749,0,0,0
5735.1,1750,0,0,0
5738.4,1751,0,0,0
5741.7,1752,0,0,0
5745,1753,0,0,0
5748.3,1754,0,0,0
5751.5,1755,0,0,0
5754.8,1756,0,0,0
5758.1,1757,0,0,0
5761.4,1758,0,0,0
5764.6,1759,0,0,1
5767.9,1760,0,0,1
5771.2,1761,0,0,0
5774.5,1762,0,0,0
5777.8,1763,0,0,0
5781,1764,0,0,0
5784.3,1765,0,0,0
5787.6,1766,0,0,0
5790.9,1767,0,0,0
5794.1,1768,0,0,0
5797.4,1769,0,0,0
5800.7,1770,0,0,0
5804,1771,0,0,0
5807.2,1772,0,0,1
5810.5,1773,0,0,0
5813.8,1774,0,0,0
5817.1,1775,0,0,0
5820.4,1776,0,0,0
5823.6,1777,0,0,0
5826.9,1778,0,0,0
5830.2,1779,0,0,0
5833.5,1780,0,0,0
5836.7,1781,0,0,0
5840,1782,0,0,0
5843.3,1783,0,0,0
5846.6,1784,0,0,0
5849.9,1785,0,0,0
5853.1,1786,0,0,0
5856.4,1787,0,0,0
5859.7,1788,0,0,0
5863,1789,0,0,0
5866.2,1790,0,0,0
5869.5,1791,0,0,0
5872.8,1792,0,0,0
5876.1,1793,0,0,0
5879.3,1794,0,0,0
5882.6,1795,0,0,0
5885.9,1796,0,0,0
5889.2,1797,0,0,0
5892.5,1798,0,0,0
5895.7,1799,0,0,0
5899,1800,0,0,0
5902.3,1801,0,0,0
5905.6,1802,0,0,1
5908.8,1803,0,0,0
5912.1,1804,0,0,0
5915.4,1805,0,0,0
5918.7,1806,0,0,0
5922,1807,0,0,0
5925.2,1808,0,0,0
5928.5,1809,0,0,0
5931.8,1810,0,0,0
5935.1,1811,0,0,0
5938.3,1812,0,0,0
5941.6,1813,0,0,0
5944.9,1814,0,0,0
5948.2,1815,0,0,0
5951.4,1816,0,0,0
5954.7,1817,0,0,0
5958,1818,0,0,0
5961.3,1819,0,1,0
5964.6,1820,0,0,0
5967.8,1821,0,0,0
5971.1,1822,0,0,0
5974.4,1823,0,0,0
5977.7,1824,0,0,0
5980.9,1825,0,0,0
5984.2,1826,0,0,0
5987.5,1827,0,0,1
5990.8,1828,0,0,0
5994,1829,0,0,0
5997.3,1830,0,0,0
6000.6,1831,0,0,0
6003.9,1832,0,0,0
6007.2,1833,0,0,1
6010.4,1834,0,0,0
6013.7,1835,0,0,0
6017,1836,0,0,0
6020.3,1837,0,0,0
6023.5,1838,0,0,0
6026.8,1839,0,0,0
6030.1,1840,0,0,0
6033.4,1841,0,0,0
6036.7,1842,0,0,0
6039.9,1843,0,0,0
6043.2,1844,0,0,0
6046.5,1845,0,0,0
6049.8,1846,0,0,0
6053,1847,0,0,0
6056.3,1848,0,0,0
6059.6,1849,0,0,0
6062.9,1850,0,0,0
6066.1,1851,0,0,0
6069.4,1852,0,0,0
6072.7,1853,0,0,0
6076,1854,0,0,0
6079.3,1855,0,0,0
6082.5,1856,0,0,0
6085.8,1857,0,0,0
6089.1,1858,0,0,0
6092.4,1859,0,0,0
6095.6,1860,0,0,0
6098.9,1861,0,0,0
6102.2,1862,0,0,0
6105.5,1863,0,0,0
6108.8,1864,0,0,0
6112,1865,0,0,0
6115.3,1866,0,0,0
6118.6,1867,0,0,0
6121.9,1868,0,0,0
6125.1,1869,0,0,0
6128.4,1870,0,0,0
6131.7,1871,0,0,0
6135,1872,0,0,0
6138.2,1873,0,0,0
6141.5,1874,0,0,0
6144.8,1875,0,0,0
6148.1,1876,0,0,0
6151.4,1877,0,0,0
6154.6,1878,0,0,1
6157.9,1879,0,0,0
6161.2,1880,0,0,0
6164.5,1881,0,0,0
6167.7,1882,0,0,0
6171,1883,0,0,0
6174.3,1884,0,0,0
6177.6,1885,0,0,0
6180.9,1886,0,0,0
6184.1,1887,0,0,0
6187.4,1888,0,0,1
6190.7,1889,0,0,1
6194,1890,0,0,0
6197.2,1891,0,0,1
6200.5,1892,0,0,0
6203.8,1893,0,0,1
6207.1,1894,0,0,0
6210.3,1895,0,0,0
6213.6,1896,0,0,0
6216.9,1897,0,0,0
6220.2,1898,1,0,0
6223.5,1899,0,0,0
6226.7,1900,0,0,0
6230,1901,0,0,0
6233.3,1902,0,0,0
6236.6,1903,0,0,0
6239.8,1904,0,0,0
6243.1,1905,0,0,0
6246.4,1906,0,0,0
6249.7,1907,0,0,0
6253,1908,0,0,0
6256.2,1909,0,0,0
6259.5,1910,0,0,0
6262.8,1911,0,0,0
6266.1,1912,0,0,0
6269.3,1913,0,0,0
6272.6,1914,0,0,0
6275.9,1915,0,0,0
6279.2,1916,0,0,0
6282.4,1917,0,0,0
6285.7,1918,0,0,0
6289,1919,0,0,0
6292.3,1920,0,0,0
6295.6,1921,0,0,0
6298.8,1922,0,0,0
6302.1,1923,0,0,0
6305.4,1924,0,0,1
6308.7,1925,0,0,0
6311.9,1926,0,0,0
6315.2,1927,0,0,0
6318.5,1928,0,0,0
6321.8,1929,0,0,0
6325,1930,0,0,0
6328.3,1931,0,0,0
6331.6,1932,0,0,0
6334.9,1933,0,0,0
6338.2,1934,0,0,0
6341.4,1935,0,0,1
6344.7,1936,0,0,0
6348,1937,0,0,0
6351.3,1938,0,0,0
6354.5,1939,0,0,0
6357.8,1940,0,0,0
6361.1,1941,0,0,0
6364.4,1942,0,0,0
6367.7,1943,0,0,0
6370.9,1944,0,0,0
6374.2,1945,0,0,0
6377.5,1946,0,0,0
6380.8,1947,0,0,0
6384,1948,0,0,0
6387.3,1949,0,0,0
6390.6,1950,0,0,0
6393.9,1951,0,0,0
6397.1,1952,0,0,0
6400.4,1953,0,0,0
6403.7,1954,0,0,0
6407,1955,0,0,0
6410.3,1956,0,0,0
6413.5,1957,0,0,0
6416.8,1958,0,0,0
6420.1,1959,0,0,0
6423.4,1960,0,0,0
6426.6,1961,0,0,0
6429.9,1962,0,0,0
6433.2,1963,0,0,0
6436.5,1964,0,0,0
6439.8,1965,0,0,0
6443,1966,0,0,0
6446.3,1967,0,0,0
6449.6,1968,0,0,0
6452.9,1969,0,0,0
6456.1,1970,0,0,0
6459.4,1971,0,0,0
6462.7,1972,0,0,0
6466,1973,0,0,0
6469.2,1974,0,0,1
6472.5,1975,0,0,0
6475.8,1976,0,0,0
6479.1,1977,0,0,0
6482.4,1978,0,0,0
6485.6,1979,0,0,0
6488.9,1980,0,0,0
6492.2,1981,0,0,0
6495.5,1982,0,0,0
6498.7,1983,0,0,0
6502,1984,0,0,0
6505.3,1985,0,0,0
6508.6,1986,0,0,0
6511.9,1987,0,0,0
6515.1,1988,0,0,0
6518.4,1989,0,0,0
6521.7,1990,0,0,0
6525,1991,0,0,0
6528.2,1992,0,0,0
6531.5,1993,0,0,0
6534.8,1994,0,0,0
6538.1,1995,0,0,0
6541.3,1996,0,0,0
6544.6,1997,0,0,0
6547.9,1998,0,0,0
6551.2,1999,0,0,0
6554.5,2000,0,0,0
6557.7,2001,0,0,0
6561,2002,0,0,0
6564.3,2003,0,0,0
6567.6,2004,0,0,0
6570.8,2005,0,0,0
6574.1,2006,0,0,0
6577.4,2007,0,0,0
6580.7,2008,0,0,0
6584,2009,0,0,0
6587.2,2010,0,0,0
6590.5,2011,0,0,0
6593.8,2012,0,0,0
6597.1,2013,0,0,1
6600.3,2014,0,0,0
6603.6,2015,0,0,0
6606.9,2016,0,0,0
6610.2,2017,0,0,0
6613.4,2018,0,0,0
6616.7,2019,0,0,0
6620,2020,0,0,0
6623.3,2021,0,0,0
6626.6,2022,0,0,0
6629.8,2023,0,0,0
6633.1,2024,0,0,0
6636.4,2025,0,0,0
6639.7,2026,0,0,0
6642.9,2027,0,0,0
6646.2,2028,0,0,0
6649.5,2029,0,0,0
6652.8,2030,0,0,0
6656,2031,0,0,0
6659.3,2032,0,0,0
6662.6,2033,0,0,0
6665.9,2034,0,0,0
6669.2,2035,0,0,0
6672.4,2036,0,0,0
6675.7,2037,0,0,0
6679,2038,0,0,0
6682.3,2039,0,0,0
6685.5,2040,0,0,1
6688.8,2041,0,0,0
6692.1,2042,0,0,0
6695.4,2043,0,0,0
6698.7,2044,0,0,0
6701.9,2045,0,0,0
6705.2,2046,0,0,0
6708.5,2047,2,1,10
