n_1,N_1
798,2
799,4
800,0
801,0
802,1
803,1
804,1
805,0
806,2
807,1
808,0
809,1
810,0
811,1
812,1
813,0
814,1
815,0
816,1
817,1
818,3
819,2
820,1
821,3
822,0
823,2
824,3
825,1
826,2
827,0
828,1
829,1
830,1
831,1
832,1
833,0
834,1
835,1
836,3
837,3
838,1
839,1
840,0
841,3
842,1
843,0
844,1
845,0
846,2
847,0
848,1
849,2
850,1
851,1
852,4
853,3
854,1
855,0
856,0
857,2
858,1
859,2
860,3
861,3
862,1
863,5
864,1
865,2
866,0
867,2
868,0
869,2
870,2
871,1
872,1
873,0
874,1
875,1
876,1
877,1
878,1
879,0
880,0
881,1
882,1
883,0
884,1
885,2
886,1
887,0
888,3
889,2
890,2
891,0
892,0
893,0
894,0
895,0
896,3
897,1
898,3
899,2
900,0
901,1
902,0
903,2
904,4
905,3
906,2
907,2
908,1
909,2
910,0
911,0
912,3
913,0
914,1
915,1
916,0
917,1
918,1
919,1
920,2
921,1
922,1
923,2
924,1
925,1
926,0
927,1
928,3
929,2
930,1
931,2
932,1
933,0
934,1
935,4
936,4
937,1
938,2
939,0
940,2
941,3
942,1
943,0
944,0
945,1
946,2
947,0
948,0
949,2
950,1
951,2
952,0
953,1
954,2
955,1
956,2
957,0
958,1
959,1
960,0
961,3
962,0
963,0
964,1
965,2
966,3
967,1
968,1
969,3
970,1
971,1
972,0
973,0
974,0
975,1
976,0
977,0
978,1
979,1
980,0
981,0
982,1
983,1
984,2
985,0
986,1
987,0
988,0
989,0
990,1
991,0
992,0
993,2
994,2
995,4
996,1
997,0
998,2
999,0
1000,2
1001,0
1002,0
1003,0
1004,2
1005,1
1006,0
1007,1
1008,0
1009,0
1010,2
1011,1
1012,0
1013,1
1014,0
1015,1
1016,1
1017,1
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,1
1026,0
1027,2
1028,1
1029,1
1030,1
1031,1
1032,3
1033,1
1034,0
1035,1
1036,1
1037,1
1038,0
1039,0
1040,1
1041,0
1042,0
1043,2
1044,1
1045,2
1046,1
1047,1
1048,1
1049,1
1050,1
1051,0
1052,1
1053,2
1054,0
1055,0
1056,0
1057,1
1058,0
1059,0
1060,0
1061,1
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,2
1070,0
1071,1
1072,0
1073,0
1074,1
1075,0
1076,1
1077,1
1078,2
1079,1
1080,0
1081,0
1082,2
1083,1
1084,1
1085,1
1086,1
1087,1
1088,1
1089,0
1090,0
1091,1
1092,1
1093,2
1094,1
1095,0
1096,0
1097,0
1098,1
1099,1
1100,0
1101,2
1102,1
1103,1
1104,0
1105,0
1106,0
1107,0
1108,1
1109,1
1110,2
1111,2
1112,0
1113,0
1114,0
1115,1
1116,0
1117,1
1118,0
1119,0
1120,2
1121,1
1122,0
1123,0
1124,1
1125,1
