n_1,N_1
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,1
13,2
14,2
15,1
16,2
17,2
18,4
19,3
20,2
21,0
22,0
23,0
24,2
25,0
26,4
27,0
28,2
29,0
30,0
31,0
32,1
33,2
34,0
35,1
36,0
37,1
38,2
39,0
40,0
41,1
42,2
43,1
44,2
45,1
46,2
47,1
48,0
49,0
50,2
51,2
52,1
53,2
54,2
55,0
56,0
57,2
58,0
59,1
60,0
61,1
62,1
63,4
64,1
65,0
66,1
67,0
68,0
69,2
70,1
71,0
72,1
73,2
74,1
75,1
76,0
77,0
78,1
79,0
80,1
81,2
82,2
83,1
84,1
85,0
86,0
87,2
88,0
89,0
90,3
91,0
92,0
93,1
94,3
95,0
96,0
97,3
98,2
99,1
100,0
101,1
102,3
103,1
104,1
105,2
106,0
107,1
108,3
109,1
110,1
111,1
112,0
113,0
114,3
115,0
116,1
117,0
118,0
119,3
120,2
121,0
122,1
123,0
124,2
125,1
126,2
127,2
128,1
129,1
130,2
131,3
132,2
133,0
134,2
135,0
136,2
137,1
138,0
139,4
140,3
141,3
142,3
143,2
144,1
145,1
146,3
147,1
148,2
149,1
150,0
151,1
152,0
153,1
154,2
155,2
156,1
157,2
158,0
159,1
160,2
161,1
162,2
163,1
164,0
165,4
166,3
167,2
168,3
169,4
170,2
171,0
172,3
173,2
174,2
175,1
176,1
177,2
178,0
179,1
180,3
181,5
182,0
183,3
184,3
185,1
186,3
187,1
188,3
189,2
190,1
191,2
192,3
193,3
194,2
195,1
196,3
197,1
198,2
199,1
200,2
201,1
202,2
203,1
204,1
205,1
206,0
207,2
208,1
209,0
210,2
211,2
212,4
213,1
214,3
215,5
216,2
217,4
218,3
219,3
220,2
221,3
222,2
223,8
224,4
225,10
226,7
227,2
228,5
229,5
230,1
231,4
232,5
233,5
234,7
235,7
236,6
237,7
238,4
239,6
240,1
241,4
242,3
243,6
244,6
245,6
246,7
247,4
248,3
249,5
250,2
251,7
252,2
253,5
254,2
255,4
256,8
257,4
258,4
259,2
260,11
261,6
262,4
263,4
264,1
265,5
266,7
267,6
268,4
269,4
270,7
271,4
272,8
273,4
274,5
275,4
276,5
277,7
278,2
279,6
280,4
281,4
282,2
283,4
284,8
285,6
286,4
287,8
288,9
289,5
290,8
291,4
292,4
293,5
294,6
295,3
296,5
297,3
298,5
299,6
300,5
301,9
302,4
303,4
304,8
305,5
306,5
307,5
308,5
309,5
310,2
311,2
312,4
313,9
314,8
315,3
316,1
317,2
318,3
319,3
320,4
321,6
322,5
323,6
324,5
325,1
326,3
327,4
328,9
329,2
330,5
331,4
332,3
333,4
334,6
335,3
336,3
337,4
338,3
339,4
340,3
341,4
342,7
343,1
344,5
345,4
346,3
347,1
348,3
349,4
350,2
351,2
352,2
353,6
354,2
355,5
356,8
357,2
358,5
359,5
360,4
361,2
362,4
363,8
364,2
365,4
366,6
367,1
368,5
369,6
370,8
371,7
372,2
373,2
374,3
375,6
376,5
377,2
378,1
379,4
380,0
381,6
382,6
383,10
384,4
385,6
386,7
387,4
388,4
389,3
390,8
391,6
392,2
393,7
394,4
395,4
396,1
397,0
398,9
399,3
400,1
401,4
402,4
403,1
404,6
405,3
406,5
407,2
408,5
409,2
410,3
411,5
412,1
413,3
414,3
415,1
416,2
417,3
418,3
419,1
420,3
421,7
422,9
423,5
424,3
425,3
426,8
427,3
428,4
429,4
430,4
431,2
432,3
433,2
434,4
435,4
436,2
437,2
438,4
439,4
440,8
441,2
442,3
443,2
444,2
445,3
446,3
447,6
448,1
449,8
450,6
451,2
452,3
453,4
454,6
455,6
456,4
457,2
458,6
459,3
460,3
461,4
462,1
463,4
464,1
465,7
466,2
467,4
468,5
469,0
470,2
471,1
472,3
473,1
474,1
475,0
476,5
477,1
478,4
479,1
480,6
481,5
482,7
483,0
484,1
485,5
486,4
487,2
488,3
489,3
490,4
491,8
492,2
493,3
494,3
495,1
496,5
497,5
498,4
499,1
500,3
501,2
502,6
503,3
504,1
505,3
506,5
507,4
508,1
509,1
510,4
511,3
512,4
513,4
514,1
515,4
516,3
517,3
518,1
519,2
520,2
521,2
522,3
523,3
524,3
525,5
526,4
527,0
528,4
529,1
530,0
531,2
