n_1,N_1
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,1
12,1
13,1
14,1
15,1
16,0
17,3
18,2
19,2
20,3
21,0
22,1
23,2
24,0
25,1
26,1
27,0
28,0
29,1
30,3
31,0
32,0
33,0
34,3
35,1
36,0
37,0
38,1
39,1
40,0
41,0
42,3
43,2
44,1
45,0
46,2
47,1
48,1
49,1
50,0
51,0
52,2
53,1
54,1
55,3
56,0
57,0
58,2
59,1
60,0
61,0
62,1
63,0
64,0
65,2
66,0
67,0
68,0
69,2
70,1
71,0
72,1
73,0
74,1
75,0
76,1
77,0
78,0
79,1
80,3
81,1
82,2
83,0
84,1
85,1
86,0
87,1
88,2
89,3
90,4
91,2
92,1
93,0
94,1
95,1
96,0
97,3
98,1
99,1
100,2
101,3
102,2
103,1
104,1
105,1
106,1
107,1
108,0
109,1
110,0
111,1
112,0
113,1
114,2
115,0
116,2
117,3
118,2
119,1
120,0
121,1
122,3
123,0
124,2
125,1
126,1
127,2
128,1
129,2
130,2
131,0
132,0
133,1
134,1
135,2
136,0
137,1
138,1
139,2
140,1
141,4
142,2
143,1
144,2
145,2
146,3
147,2
148,2
149,2
150,2
151,2
152,2
153,1
154,2
155,2
156,1
157,1
158,2
159,0
160,2
161,1
162,1
163,3
164,0
165,0
166,4
167,1
168,3
169,2
170,4
171,1
172,4
173,2
174,2
175,0
176,4
177,1
178,1
179,0
180,1
181,2
182,0
183,2
184,0
185,4
186,0
187,1
188,1
189,2
190,1
191,1
192,1
193,2
194,0
195,2
196,2
197,1
198,1
199,2
200,4
201,5
202,1
203,2
204,2
205,3
206,2
207,3
208,1
209,2
210,2
211,2
212,1
213,3
214,2
215,3
216,3
217,3
218,3
219,7
220,3
221,4
222,6
223,4
224,3
225,8
226,6
227,5
228,4
229,9
230,4
231,5
232,4
233,3
234,3
235,12
236,8
237,6
238,5
239,4
240,8
241,6
242,5
243,6
244,6
245,9
246,4
247,6
248,6
249,5
250,9
251,6
252,8
253,10
254,7
255,6
256,3
257,4
258,11
259,7
260,2
261,5
262,6
263,6
264,3
265,6
266,9
267,4
268,4
269,6
270,5
271,7
272,5
273,1
274,2
275,8
276,4
277,2
278,6
279,7
280,4
281,3
282,5
283,1
284,5
285,10
286,5
287,3
288,5
289,0
290,4
291,5
292,4
293,3
294,5
295,1
296,5
297,3
298,4
299,3
300,3
301,5
302,5
303,8
304,5
305,5
306,5
307,3
308,3
309,1
310,4
311,4
312,4
313,1
314,4
315,5
316,5
317,6
318,3
319,2
320,0
321,6
322,0
323,4
324,3
325,3
326,6
327,1
328,3
329,2
330,6
331,6
332,3
333,1
334,7
335,3
336,5
337,6
338,3
339,6
340,3
341,4
342,6
343,3
344,3
345,4
346,4
347,9
348,5
349,3
350,4
351,1
352,7
353,1
354,8
355,4
356,4
357,7
358,7
359,3
360,2
361,4
362,4
363,4
364,2
365,9
366,2
367,9
368,1
369,6
370,3
371,9
372,10
373,5
374,6
375,3
376,3
377,7
378,5
379,4
380,3
381,5
382,3
383,5
384,10
385,1
386,2
387,6
388,1
389,4
390,5
391,4
392,5
393,5
394,7
395,3
396,6
397,4
398,2
399,4
400,3
401,1
402,2
403,1
404,5
405,3
406,4
407,6
408,3
409,6
410,8
411,9
412,4
413,4
414,2
415,8
416,4
417,4
418,6
419,4
420,6
421,3
422,3
423,3
424,8
425,3
426,2
427,8
428,2
429,5
430,2
431,3
432,3
433,3
434,2
435,5
436,2
437,2
438,3
439,4
440,7
441,3
442,2
443,3
444,4
445,4
446,0
447,4
448,5
449,2
450,4
451,5
452,2
453,5
454,3
455,3
456,5
457,3
458,3
459,4
460,7
461,2
462,2
463,5
464,1
465,2
466,4
467,5
468,1
469,2
470,4
471,5
472,7
473,4
474,3
475,0
476,3
477,4
478,1
479,1
480,4
481,3
482,3
483,1
484,6
485,6
486,3
487,6
488,2
489,5
490,4
491,6
492,3
493,1
494,5
495,3
496,1
497,2
498,7
499,4
500,1
501,2
502,3
503,2
504,3
505,4
506,2
507,1
508,2
509,4
510,3
511,0
512,2
513,0
514,2
515,3
516,3
517,2
518,5
519,3
520,2
521,3
522,2
523,5
524,6
525,7
526,4
527,5
528,2
529,0
530,6
531,1
