n_1,N_1
532,4
533,2
534,6
535,5
536,2
537,1
538,1
539,4
540,1
541,4
542,6
543,4
544,2
545,2
546,3
547,3
548,1
549,4
550,4
551,3
552,1
553,2
554,4
555,1
556,1
557,1
558,4
559,2
560,5
561,2
562,5
563,1
564,5
565,4
566,5
567,2
568,2
569,3
570,0
571,3
572,4
573,1
574,1
575,1
576,3
577,3
578,0
579,2
580,1
581,3
582,3
583,0
584,3
585,6
586,3
587,3
588,1
589,2
590,0
591,0
592,4
593,1
594,3
595,1
596,0
597,4
598,3
599,1
600,1
601,1
602,1
603,2
604,2
605,4
606,0
607,3
608,2
609,3
610,4
611,2
612,2
613,4
614,1
615,0
616,5
617,1
618,3
619,1
620,3
621,2
622,2
623,2
624,1
625,3
626,3
627,3
628,1
629,3
630,4
631,1
632,3
633,2
634,2
635,3
636,3
637,2
638,3
639,2
640,1
641,1
642,0
643,1
644,2
645,2
646,4
647,1
648,2
649,2
650,2
651,2
652,2
653,1
654,3
655,2
656,2
657,2
658,2
659,5
660,1
661,1
662,1
663,1
664,2
665,2
666,1
667,1
668,0
669,2
670,1
671,0
672,1
673,3
674,0
675,4
676,2
677,1
678,4
679,5
680,2
681,0
682,3
683,2
684,0
685,2
686,1
687,2
688,1
689,3
690,2
691,0
692,0
693,2
694,1
695,1
696,1
697,0
698,1
699,2
700,1
701,2
702,1
703,2
704,1
705,1
706,1
707,1
708,1
709,3
710,1
711,2
712,3
713,0
714,4
715,2
716,1
717,3
718,3
719,0
720,3
721,0
722,1
723,3
724,2
725,0
726,4
727,1
728,0
729,1
730,4
731,3
732,3
733,2
734,5
735,0
736,0
737,2
738,2
739,2
740,1
741,0
742,3
743,0
744,2
745,0
746,2
747,2
748,3
749,3
750,2
751,2
752,5
753,2
754,1
755,2
756,4
757,1
758,0
759,2
760,1
761,1
762,5
763,0
764,0
765,0
766,2
767,2
768,1
769,1
770,2
771,0
772,1
773,1
774,2
775,0
776,0
777,3
778,1
779,2
780,1
781,0
782,1
783,1
784,0
785,3
786,1
787,1
788,4
789,2
790,1
791,0
792,2
793,1
794,2
795,3
796,0
797,2
798,0
799,0
800,2
801,0
802,3
803,2
804,1
805,2
806,3
807,0
808,1
809,4
810,0
811,1
812,1
813,0
814,0
815,3
816,0
817,3
818,1
819,0
820,0
821,1
822,0
823,2
824,1
825,1
826,0
827,1
828,0
829,1
830,0
831,0
832,1
833,3
834,0
835,0
836,0
837,2
838,0
839,1
840,2
841,1
842,0
843,2
844,2
845,0
846,0
847,3
848,0
849,0
850,2
851,2
852,1
853,0
854,1
855,2
856,0
857,0
858,0
859,1
860,0
861,3
862,1
863,2
864,1
865,0
866,2
867,0
868,1
869,1
870,1
871,3
872,0
873,0
874,4
875,1
876,0
877,2
878,3
879,0
880,2
881,1
882,0
883,1
884,0
885,5
886,0
887,2
888,0
889,1
890,1
891,0
892,2
893,3
894,1
895,1
896,4
897,0
898,1
899,1
900,3
901,0
902,1
903,0
904,1
905,1
906,4
907,2
908,2
909,3
910,0
911,2
912,0
913,0
914,1
915,0
916,0
917,2
918,1
919,2
920,1
921,0
922,0
923,2
924,0
925,3
926,0
927,0
928,0
929,1
930,2
931,1
932,1
933,0
934,3
935,1
936,1
937,0
938,1
939,0
940,0
941,0
942,2
943,1
944,0
945,2
946,1
947,0
948,0
949,2
950,2
951,5
952,2
953,1
954,1
955,1
956,0
957,1
958,0
959,3
960,1
961,1
962,1
963,3
964,2
965,0
966,0
967,0
968,0
969,0
970,1
971,0
972,0
973,1
974,0
975,1
976,1
977,1
978,1
979,1
980,1
981,1
982,1
983,0
984,2
985,0
986,1
987,2
988,1
989,2
990,1
991,0
992,3
993,3
994,1
995,1
996,1
997,3
998,2
999,1
1000,0
1001,1
1002,1
1003,2
1004,0
1005,1
1006,1
1007,1
1008,0
1009,1
1010,0
1011,0
1012,0
1013,0
1014,0
1015,1
1016,0
1017,1
1018,1
1019,0
1020,1
1021,0
1022,0
1023,2
1024,0
1025,2
1026,0
1027,1
1028,0
1029,2
1030,1
1031,0
1032,1
1033,1
1034,1
1035,0
1036,0
1037,0
1038,3
1039,0
1040,0
1041,1
1042,0
1043,1
1044,1
1045,0
1046,1
1047,0
1048,1
1049,0
1050,0
1051,3
1052,0
1053,0
1054,0
1055,1
1056,2
1057,0
1058,1
1059,2
1060,1
1061,0
1062,1
1063,0
1064,3
1065,2
1066,0
1067,1
1068,1
1069,1
1070,0
1071,0
1072,0
1073,1
1074,1
1075,0
1076,0
1077,1
1078,2
1079,1
1080,1
1081,0
1082,2
1083,0
1084,0
1085,0
1086,1
1087,0
1088,0
1089,3
1090,0
1091,0
1092,0
1093,2
1094,0
1095,0
1096,1
1097,2
1098,1
1099,1
1100,1
1101,0
1102,0
1103,1
1104,0
1105,0
1106,0
1107,1
1108,0
1109,0
1110,0
1111,0
1112,3
1113,1
1114,1
1115,1
1116,0
1117,0
1118,0
1119,1
1120,1
1121,1
1122,2
1123,0
1124,0
1125,0
1126,2
1127,0
1128,0
1129,0
1130,1
1131,0
1132,3
1133,0
1134,2
1135,0
1136,0
1137,2
1138,0
1139,0
1140,0
1141,0
1142,0
1143,1
1144,2
1145,1
1146,0
1147,2
1148,0
1149,0
1150,2
1151,1
1152,0
1153,1
1154,1
1155,0
1156,1
1157,1
1158,1
1159,2
1160,0
1161,0
1162,1
1163,1
1164,0
1165,2
1166,1
1167,0
1168,1
1169,0
1170,0
1171,1
1172,1
1173,0
1174,1
1175,2
1176,2
1177,0
1178,0
1179,0
1180,0
1181,1
1182,1
1183,1
1184,1
1185,0
1186,0
1187,2
1188,0
1189,3
1190,1
1191,0
1192,1
1193,0
1194,1
1195,1
1196,0
1197,1
1198,1
1199,0
1200,0
1201,0
1202,1
1203,1
1204,1
1205,0
1206,0
1207,0
1208,0
1209,0
1210,2
1211,1
1212,0
1213,1
1214,1
1215,0
1216,1
1217,0
1218,3
1219,0
1220,1
1221,1
1222,2
1223,0
1224,3
1225,1
1226,1
1227,0
1228,0
1229,1
1230,3
1231,1
1232,1
1233,0
1234,2
1235,0
1236,0
1237,0
1238,0
1239,0
1240,0
1241,0
1242,0
1243,1
1244,1
1245,0
1246,1
1247,0
1248,0
1249,1
1250,0
1251,0
1252,0
1253,0
1254,1
1255,1
1256,1
1257,0
1258,0
1259,2
1260,1
1261,0
1262,0
1263,0
1264,0
1265,1
1266,1
1267,0
1268,0
1269,1
1270,2
1271,0
1272,1
1273,1
1274,0
1275,0
1276,2
1277,0
1278,2
1279,1
1280,0
1281,1
1282,0
1283,0
1284,0
1285,1
1286,1
1287,1
1288,1
1289,0
1290,0
1291,0
1292,0
1293,1
1294,0
1295,1
1296,2
1297,1
1298,0
1299,0
1300,1
1301,0
1302,1
1303,0
1304,0
1305,0
1306,2
1307,1
1308,0
1309,0
1310,0
1311,0
1312,1
1313,0
1314,1
1315,1
1316,0
1317,0
1318,2
1319,2
1320,0
1321,0
1322,1
1323,0
1324,2
1325,0
1326,1
1327,1
1328,1
1329,0
1330,0
1331,0
1332,0
1333,0
1334,2
1335,0
1336,0
1337,0
1338,0
1339,1
1340,0
1341,1
1342,0
1343,0
1344,1
1345,0
1346,1
1347,1
1348,0
1349,1
1350,1
1351,0
1352,2
1353,0
1354,1
1355,1
1356,0
1357,1
1358,0
1359,0
1360,0
1361,0
1362,0
1363,0
1364,0
1365,1
1366,1
1367,0
1368,1
1369,1
1370,0
1371,1
1372,1
1373,0
1374,0
1375,1
1376,1
1377,0
1378,0
1379,1
1380,0
1381,0
1382,2
1383,2
1384,2
1385,0
1386,0
1387,0
1388,1
1389,0
1390,0
1391,0
1392,1
1393,1
1394,2
1395,0
1396,0
1397,0
1398,1
1399,0
1400,0
1401,1
1402,0
1403,1
1404,0
1405,2
1406,3
1407,0
1408,0
1409,1
1410,1
1411,1
1412,0
1413,0
1414,0
1415,1
1416,1
1417,0
1418,1
1419,1
1420,0
1421,0
1422,1
1423,0
1424,0
1425,0
1426,0
1427,0
1428,0
1429,0
1430,1
1431,0
1432,2
1433,0
1434,0
1435,0
1436,1
1437,0
1438,0
1439,0
1440,1
1441,0
1442,1
1443,3
1444,0
1445,1
1446,2
1447,0
1448,0
1449,0
1450,0
1451,0
1452,0
1453,3
1454,2
1455,0
1456,0
1457,0
1458,0
1459,0
1460,0
1461,0
1462,1
1463,0
1464,0
1465,0
1466,0
1467,0
1468,1
1469,1
1470,1
1471,0
1472,2
1473,0
1474,0
1475,0
1476,1
1477,1
1478,2
1479,2
1480,1
1481,1
1482,0
1483,0
1484,2
1485,1
1486,1
1487,1
1488,1
1489,1
1490,0
1491,1
1492,0
1493,1
1494,0
1495,1
1496,0
1497,0
1498,0
1499,0
1500,2
1501,0
1502,0
1503,0
1504,0
1505,0
1506,1
1507,0
1508,0
1509,1
1510,0
1511,3
1512,0
1513,1
1514,0
1515,0
1516,1
1517,1
1518,0
1519,2
1520,0
1521,0
1522,0
1523,0
1524,0
1525,0
1526,0
1527,0
1528,0
1529,0
1530,1
1531,0
1532,1
1533,0
1534,2
1535,0
1536,0
1537,0
1538,2
1539,0
1540,0
1541,0
1542,0
1543,1
1544,1
1545,0
1546,2
1547,0
1548,0
1549,0
1550,0
1551,0
1552,0
1553,2
1554,1
1555,1
1556,0
1557,0
1558,1
1559,1
1560,0
1561,1
1562,0
1563,0
1564,0
1565,0
1566,0
1567,0
1568,0
1569,2
1570,0
1571,0
1572,0
1573,0
1574,1
1575,0
1576,0
1577,0
1578,0
1579,0
1580,1
1581,0
1582,0
1583,0
1584,0
1585,2
1586,1
1587,0
1588,0
1589,0
1590,0
1591,0
1592,0
1593,0
1594,0
1595,1
1596,1
1597,0
1598,1
1599,0
1600,1
1601,1
1602,1
1603,0
1604,3
1605,2
1606,0
1607,1
1608,1
1609,2
1610,0
1611,0
1612,0
1613,0
1614,0
1615,1
1616,1
1617,0
1618,1
1619,0
1620,1
1621,3
1622,0
1623,0
1624,0
1625,1
1626,0
1627,2
1628,0
1629,1
1630,0
1631,0
1632,1
1633,1
1634,0
1635,0
1636,0
1637,0
1638,0
1639,0
1640,0
1641,0
1642,0
1643,0
1644,0
1645,1
1646,0
1647,0
1648,3
1649,3
1650,0
1651,1
1652,0
1653,0
1654,0
1655,1
1656,1
1657,0
1658,1
1659,0
1660,0
1661,2
1662,0
1663,0
1664,0
1665,1
1666,1
1667,1
1668,0
1669,0
1670,2
1671,1
1672,1
1673,0
1674,0
1675,0
1676,1
1677,0
1678,0
1679,0
1680,0
1681,0
1682,0
1683,0
1684,0
1685,0
1686,0
1687,0
1688,0
1689,0
1690,0
1691,0
1692,1
1693,1
1694,0
1695,0
1696,1
1697,3
1698,0
1699,1
1700,1
1701,2
1702,0
1703,1
1704,1
1705,0
1706,0
1707,0
1708,0
1709,1
1710,2
1711,1
1712,1
1713,1
1714,1
1715,0
1716,0
1717,0
1718,1
1719,0
1720,0
1721,1
1722,0
1723,0
1724,0
1725,0
1726,0
1727,0
1728,1
1729,0
1730,1
1731,0
1732,0
1733,0
1734,1
1735,1
1736,4
1737,0
1738,0
1739,0
1740,0
1741,0
1742,1
1743,0
1744,0
1745,1
1746,0
1747,0
1748,2
1749,0
1750,0
1751,1
1752,0
1753,2
1754,0
1755,0
1756,1
1757,1
1758,0
1759,0
1760,0
1761,0
1762,1
1763,0
1764,0
1765,0
1766,0
1767,1
1768,2
1769,1
1770,0
1771,0
1772,1
1773,1
1774,1
1775,0
1776,0
1777,1
1778,0
1779,1
1780,0
1781,1
1782,0
1783,0
1784,2
1785,1
1786,0
1787,0
1788,1
1789,1
1790,0
1791,0
1792,0
1793,0
1794,0
1795,0
1796,0
1797,0
1798,0
1799,0
1800,0
1801,0
1802,0
1803,1
1804,0
1805,0
1806,0
1807,0
1808,0
1809,0
1810,0
1811,1
1812,0
1813,2
1814,2
1815,1
1816,0
1817,0
1818,1
1819,1
1820,0
1821,0
1822,0
1823,1
1824,0
1825,0
1826,0
1827,0
1828,0
1829,0
1830,1
1831,0
1832,0
1833,0
1834,2
1835,1
1836,0
1837,0
1838,2
1839,0
1840,0
1841,0
1842,0
1843,0
1844,0
1845,0
1846,0
1847,0
1848,0
1849,0
1850,0
1851,1
1852,1
1853,0
1854,0
1855,0
1856,1
1857,0
1858,0
1859,0
1860,0
1861,0
1862,0
1863,0
1864,1
1865,0
1866,1
1867,0
1868,0
1869,0
1870,0
1871,0
1872,0
1873,0
1874,0
1875,0
1876,1
1877,0
1878,2
1879,1
1880,0
1881,0
1882,0
1883,0
1884,0
1885,1
1886,0
1887,1
1888,0
1889,0
1890,0
1891,0
1892,0
1893,1
1894,0
1895,1
1896,0
1897,1
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,1
1906,0
1907,1
1908,0
1909,0
1910,0
1911,0
1912,1
1913,0
1914,0
1915,1
1916,1
1917,0
1918,0
1919,0
1920,0
1921,1
1922,0
1923,0
1924,0
1925,1
1926,1
1927,0
1928,0
1929,0
1930,2
1931,0
1932,0
1933,0
1934,0
1935,0
1936,1
1937,0
1938,0
1939,0
1940,0
1941,2
1942,1
1943,1
1944,0
1945,0
1946,1
1947,1
1948,0
1949,1
1950,0
1951,0
1952,0
1953,0
1954,0
1955,2
1956,1
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,1
1964,2
1965,1
1966,0
1967,0
1968,2
1969,0
1970,0
1971,1
1972,0
1973,0
1974,0
1975,1
1976,2
1977,1
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,1
1985,0
1986,0
1987,2
1988,0
1989,0
1990,1
1991,0
1992,0
1993,1
1994,0
1995,0
1996,0
1997,0
1998,1
1999,0
2000,1
2001,1
2002,0
2003,0
2004,1
2005,0
2006,0
2007,0
2008,2
2009,0
2010,1
2011,0
2012,0
2013,1
2014,2
2015,0
2016,0
2017,1
2018,0
2019,0
2020,0
2021,1
2022,0
2023,0
2024,1
2025,0
2026,0
2027,0
2028,0
2029,0
2030,0
2031,0
2032,0
2033,1
2034,0
2035,0
2036,1
2037,0
2038,0
2039,0
2040,0
2041,0
2042,1
2043,0
2044,0
2045,0
2046,1
2047,33
