E_1 / keV,Cu Plate,Mo Source,Ag Plate,Zr Plate,Zn Plate,Ni Plate,Fe Plate,FeCr Alloy Plate,Tin Maybe Plate,Titanium Plate,Cu Maybe,Tin Maybe Plate,Mo Plate
43.54,0,0,0,0,0,0,0,0,0,0,0,0,0
43.64,0,1,0,0,0,0,0,0,0,0,0,0,0
43.73,0,2,0,0,0,0,0,0,0,0,0,0,0
43.83,0,0,0,0,0,0,0,0,0,0,0,0,0
43.93,0,3,0,0,0,0,1,0,0,0,0,0,0
44.03,0,1,0,0,0,0,0,0,0,0,0,0,0
44.13,0,4,0,0,0,0,0,0,0,0,0,0,0
44.23,0,1,0,1,0,0,0,0,0,0,0,0,0
44.33,0,1,0,0,0,0,0,0,0,0,0,0,0
44.42,0,1,0,0,0,0,0,0,0,0,0,0,0
44.52,0,1,0,0,1,0,0,0,0,0,0,0,0
44.62,0,1,0,0,0,0,0,0,0,0,0,0,0
44.72,0,3,0,0,0,0,0,0,0,0,0,0,0
44.82,0,1,0,0,0,0,0,0,0,0,0,0,0
44.92,0,0,0,0,0,0,0,0,0,0,0,0,0
45.01,0,0,0,0,0,0,0,0,0,0,0,0,0
45.11,0,0,0,0,0,0,0,0,0,0,0,0,0
45.21,0,0,0,0,0,0,0,0,0,0,0,0,0
45.31,0,1,0,0,0,0,0,0,0,0,0,0,0
45.41,0,1,0,0,0,0,1,0,0,0,0,0,0
45.51,0,0,0,0,0,0,0,0,0,0,0,0,0
45.6,0,0,0,0,0,0,0,0,0,0,0,0,0
45.7,0,0,0,0,0,0,0,0,0,0,0,0,0
45.8,0,0,0,0,0,0,0,0,0,0,0,0,0
45.9,0,2,0,0,0,0,0,0,0,0,0,0,0
46,0,1,0,0,0,0,0,0,0,0,0,0,0
46.1,0,1,0,0,0,0,0,0,0,0,0,0,0
46.19,0,2,0,0,0,0,0,0,0,0,0,0,0
46.29,0,0,0,0,0,0,0,0,0,0,0,0,0
46.39,0,2,0,0,0,0,0,0,0,0,0,0,0
46.49,0,1,0,0,0,0,0,0,0,0,0,0,0
46.59,0,1,0,0,1,0,0,0,0,0,0,0,0
46.69,0,1,1,0,0,0,0,1,0,0,0,0,0
46.78,0,1,0,0,0,0,0,0,0,0,0,0,0
46.88,0,1,0,0,0,0,0,0,0,0,0,0,0
46.98,0,0,0,0,0,0,0,1,0,0,0,0,0
47.08,0,0,0,0,0,0,0,0,0,0,0,0,0
47.18,0,1,0,0,0,0,0,0,0,0,0,0,0
47.28,0,0,0,0,0,0,0,0,0,0,0,0,0
47.37,0,1,0,0,0,0,0,0,0,0,0,0,1
47.47,0,1,0,0,0,0,0,0,0,0,0,0,0
47.57,0,1,0,0,0,0,0,0,0,0,0,0,0
47.67,0,0,0,0,0,0,0,0,0,0,0,0,0
47.77,0,0,0,0,0,0,0,0,0,0,0,0,0
47.87,0,0,0,0,0,1,0,0,0,0,0,0,0
47.96,0,0,0,0,0,0,0,0,0,0,0,0,0
48.06,0,0,0,0,0,0,0,0,0,0,0,0,0
48.16,0,0,0,0,0,0,0,0,0,0,0,0,0
48.26,0,1,0,0,0,0,0,0,0,0,0,0,0
48.36,0,0,0,0,0,0,0,0,0,0,0,0,0
48.46,0,0,0,0,0,0,0,0,0,0,0,0,0
48.55,0,1,0,0,0,0,0,0,0,0,0,0,0
48.65,0,1,0,0,0,0,0,0,0,0,0,1,0
48.75,0,0,0,1,0,0,0,0,0,0,0,0,0
48.85,0,0,0,0,0,0,0,0,0,0,0,0,0
48.95,0,0,0,0,0,0,0,0,0,0,0,0,0
49.05,0,0,0,0,0,0,0,0,0,0,0,0,0
49.14,0,0,0,0,0,0,0,0,0,0,0,0,0
49.24,0,0,0,0,0,0,0,0,0,0,0,0,0
49.34,0,0,0,0,0,0,0,0,0,0,0,0,0
49.44,0,0,0,0,0,0,0,0,0,0,0,0,0
49.54,0,0,0,0,0,0,0,0,0,0,0,0,0
49.64,0,0,0,0,0,0,0,0,0,0,0,0,0
49.73,0,1,0,0,0,0,0,0,0,0,0,0,1
49.83,0,2,0,0,0,0,0,0,0,0,0,1,0
