E_1 / keV,Cu Plate,Mo Source,Ag Plate,Zr Plate,Zn Plate,Ni Plate,Fe Plate,FeCr Alloy Plate,Tin Maybe Plate,Titanium Plate,Cu Maybe,Tin Maybe Plate,Mo Plate
9.61,0,320,1,4,129,0,0,0,1,1,4,4,6
9.71,0,296,2,13,133,1,0,0,0,0,2,1,13
9.81,0,235,3,16,118,0,1,0,3,0,4,5,9
9.91,0,156,3,18,70,0,1,0,0,0,2,6,4
10.01,0,119,3,14,34,1,1,0,1,0,0,7,4
10.11,0,108,1,4,15,0,0,0,1,1,3,4,6
10.2,0,91,0,8,4,0,1,0,0,0,1,1,4
10.3,0,80,0,3,0,0,0,0,1,0,1,3,1
10.4,0,84,1,5,1,0,0,0,0,0,8,0,1
10.5,0,95,0,2,0,0,0,0,0,0,12,1,2
10.6,0,101,0,2,0,0,0,0,0,0,21,3,5
10.7,0,104,1,1,0,0,0,0,1,0,21,0,3
10.79,0,143,0,3,0,0,0,0,3,0,29,2,0
10.89,0,175,1,3,0,0,0,0,0,0,29,4,3
10.99,0,178,1,1,0,1,0,0,0,0,18,3,1
11.09,0,189,0,0,0,0,0,0,0,0,11,0,0
11.19,0,262,0,4,0,0,0,0,1,0,5,0,2
11.29,0,289,0,6,0,0,0,0,0,0,3,0,0
11.38,0,368,0,4,1,0,0,0,0,0,2,3,3
11.48,0,372,2,6,0,0,0,0,0,0,2,3,3
11.58,0,328,5,11,0,0,0,0,1,0,2,3,8
11.68,0,292,3,11,1,0,0,0,3,0,5,0,2
11.78,0,259,4,7,0,0,0,0,0,0,4,3,12
11.88,0,207,1,16,0,1,0,0,0,1,1,4,5
11.97,0,200,1,8,0,0,0,0,0,1,7,0,3
12.07,0,209,0,4,0,0,0,0,0,1,0,2,2
12.17,0,216,0,3,0,1,0,0,0,0,2,1,2
12.27,0,199,0,0,0,0,0,0,0,0,3,1,4
12.37,0,193,0,4,0,0,0,0,0,0,4,1,2
12.46,0,211,1,2,0,0,0,0,0,0,4,1,1
12.56,0,204,1,2,0,0,0,0,0,0,11,0,0
12.66,0,249,0,1,0,0,0,0,1,0,14,1,1
12.76,0,270,0,1,0,0,0,0,1,0,23,1,1
12.86,0,268,0,2,1,0,0,1,1,0,21,1,2
12.96,0,271,1,5,0,2,0,0,1,1,27,2,1
13.05,0,286,1,2,0,1,0,0,1,0,13,1,0
13.15,0,318,0,4,0,0,0,0,0,0,5,1,1
13.25,0,300,1,2,0,0,0,0,0,0,13,0,1
13.35,0,302,0,0,0,0,0,0,0,0,7,0,1
13.45,0,307,0,1,0,0,0,0,0,1,4,2,2
13.55,0,351,1,4,2,0,0,0,0,0,1,2,2
13.64,0,327,1,2,0,0,0,0,0,0,4,2,4
13.74,0,368,0,3,0,0,0,1,2,1,2,1,2
13.84,0,337,2,1,1,0,0,1,0,0,0,2,1
13.94,0,305,2,5,0,0,1,0,1,0,0,1,0
14.04,0,372,0,3,0,0,0,0,0,0,0,0,0
14.14,0,396,0,3,0,1,0,0,0,0,0,0,2
14.23,0,395,0,3,0,0,0,0,0,0,2,2,2
14.33,0,370,0,3,1,0,0,1,0,0,0,0,1
14.43,0,434,0,4,1,0,0,0,0,0,2,1,0
14.53,0,437,4,2,0,0,0,0,0,0,0,3,1
14.63,0,407,0,1,0,1,0,0,0,0,1,0,0
14.73,0,387,1,3,2,0,0,0,0,1,1,0,1
14.82,0,417,1,3,0,0,0,0,0,0,2,1,2
14.92,0,411,0,5,1,0,0,1,0,0,2,1,0
15.02,0,415,0,3,1,0,0,0,0,0,5,0,3
15.12,0,434,0,2,0,0,0,0,0,1,5,2,1
15.22,0,430,0,6,0,0,0,0,1,0,2,1,2
15.32,0,472,3,6,0,0,0,1,0,0,2,1,2
15.42,0,468,0,11,0,1,0,1,0,0,2,4,1
15.51,0,425,0,14,1,0,0,1,1,1,0,4,0
15.61,0,439,1,35,0,0,0,0,1,0,0,3,1
15.71,0,472,1,82,0,0,0,0,1,1,1,0,1
15.81,0,432,1,190,0,0,0,0,1,0,1,1,0
15.91,0,416,0,284,0,0,0,0,0,0,1,0,0
16,0,509,0,357,1,0,0,0,0,0,0,2,1
