E_1 / keV,Cu Cal,Mo Cal,Mo Filter,Pure Mo Cal,Mo Pure with Zr Filter,Mo plate with Zr Filter,Cu Filter straight through,Brass with Copper Filter,Brass no filter,Al Filter Mo straight through
12.17,0,216,146,443,150,0,35,0,0,144
12.27,0,199,112,411,157,3,28,0,0,130
12.37,0,193,115,453,137,1,21,0,0,132
12.46,0,211,113,452,139,1,20,0,0,127
12.56,0,204,140,474,144,1,20,0,0,139
12.66,0,249,122,509,172,0,21,0,0,147
12.76,0,270,146,469,157,2,21,0,2,157
12.86,0,268,156,510,193,1,18,0,1,162
12.96,0,271,174,547,203,0,25,0,1,176
13.05,0,286,160,564,234,2,19,0,0,211
13.15,0,318,172,582,231,1,26,0,0,198
13.25,0,300,216,592,267,1,22,0,1,172
13.35,0,302,211,594,257,1,31,0,0,198
13.45,0,307,172,581,232,1,33,0,1,219
13.55,0,351,180,647,281,3,28,0,0,227
13.64,0,327,217,585,281,1,37,0,1,219
13.74,0,368,214,661,330,0,37,0,1,234
13.84,0,337,218,668,307,4,44,0,1,252
13.94,0,305,198,624,313,1,26,0,0,227
14.04,0,372,229,624,295,1,42,0,0,226
14.14,0,396,231,629,303,2,39,0,0,242
14.23,0,395,245,673,302,0,21,0,1,252
14.33,0,370,213,684,317,2,19,0,0,250
14.43,0,434,257,688,312,1,26,0,0,303
14.53,0,437,267,723,373,1,40,0,0,279
14.63,0,407,273,723,384,3,27,0,0,256
14.73,0,387,308,671,371,1,29,0,0,301
14.82,0,417,297,743,355,1,37,0,0,280
14.92,0,411,309,697,408,1,37,0,0,303
15.02,0,415,340,786,425,1,34,0,0,332
15.12,0,434,330,732,419,3,43,0,0,291
15.22,0,430,373,766,417,1,47,0,0,338
15.32,0,472,411,833,423,2,39,0,0,352
15.42,0,468,449,812,487,3,39,0,0,375
15.51,0,425,420,792,414,0,42,0,0,349
15.61,0,439,438,817,422,3,45,0,0,363
15.71,0,472,453,871,444,2,50,0,0,365
15.81,0,432,448,953,480,2,46,0,1,374
15.91,0,416,569,971,530,2,61,0,1,381
16,0,509,539,1106,482,1,51,0,0,379
16.1,0,477,573,1204,520,2,58,0,0,398
16.2,0,489,582,1394,532,1,59,0,0,397
16.3,0,458,682,1560,528,2,69,0,0,429
