angle,wav,E / keV,R_0 / 1/s,R_1 / 1/s,T_1 / %
20.5,197.5,,8.13,6.32,77.7
20.6,198.4,,8.43,5.63,66.8
20.7,199.4,,8.03,5.55,69.1
20.8,200.3,,7.07,,
20.9,201.2,,7.47,,
21,202.1,,7.77,,
21.1,203,,7.63,,
21.2,204,,8.23,,
21.3,204.9,,8.03,,
21.4,205.8,,8.33,,
21.5,206.7,,9.13,,
21.6,207.6,,8.27,,
21.7,208.5,,8.23,,
21.8,209.5,,8.73,,
21.9,210.4,,8.77,,
22,211.3,,8.47,,
22.1,212.2,,7.67,,
22.2,213.1,,8.13,,
22.3,214,,7.5,,
22.4,214.9,,7.97,,
22.5,215.8,,6.93,,
22.6,216.7,,6.5,,
22.7,217.7,,6.6,,
22.8,218.6,,8.6,,
22.9,219.5,,7.43,,
23,220.4,,7.8,,
23.1,221.3,,8.3,,
23.2,222.2,,7.47,,
23.3,223.1,,7.17,,
23.4,224,,7.7,,
23.5,224.9,,6.47,,
23.6,225.8,,6.03,,
23.7,226.7,,6.53,,
23.8,227.6,,6.5,,
23.9,228.5,,6.43,,
24,229.4,,6.97,,
24.1,230.3,,7.7,,
24.2,231.2,,7.2,,
24.3,232.1,,6.17,,
24.4,233,,6.73,,
24.5,233.9,,7.37,,
24.6,234.8,,6.6,,
24.7,235.7,,7.13,,
24.8,236.6,,6.47,,
24.9,237.5,,7.03,,
25,238.4,,6.17,,
25.1,239.2,,6.33,,
25.2,240.1,,6.5,,
25.3,241,,5.73,,
25.4,241.9,,5.8,,
25.5,242.8,,6.1,,
25.6,243.7,,5.47,,
25.7,244.6,,5,,
25.8,245.5,,5.7,,
25.9,246.4,,5.83,,
26,247.2,,4.77,,
26.1,248.1,,5.73,,
26.2,249,,6.03,,
26.3,249.9,,6.23,,
26.4,250.8,,6,,
26.5,251.7,,5.2,,
26.6,252.5,,5.53,,
26.7,253.4,,5.37,,
26.8,254.3,,6.1,,
26.9,255.2,,5.9,,
27,256.1,,5.67,,
27.1,256.9,,5.5,,
27.2,257.8,,5,,
27.3,258.7,,5.07,,
27.4,259.6,,5.23,,
27.5,260.4,,5.33,,
27.6,261.3,,6.07,,
27.7,262.2,,5.6,,
27.8,263,,4.53,,
27.9,263.9,,5.77,,
28,264.8,,5.03,,
28.1,265.7,,5.4,,
28.2,266.5,,5.37,,
28.3,267.4,,5.43,,
28.4,268.3,,5.83,,
28.5,269.1,,5.63,,
28.6,270,,5.57,,
28.7,270.8,,4.87,,
28.8,271.7,,5.57,,
28.9,272.6,,5.1,,
29,273.4,,5.37,,
29.1,274.3,,5.03,,
29.2,275.2,,5.4,,
29.3,276,,4.43,,
29.4,276.9,,4.93,,
29.5,277.7,,3.87,,
29.6,278.6,,5.17,,
29.7,279.4,,4.43,,
29.8,280.3,,4.67,,
29.9,281.1,,5.13,,
