E_1 / keV,Cs137,Background
2706,325,0
2708.8,332,0
2711.7,324,0
2714.6,315,0
2717.4,329,0
2720.3,346,0
2723.2,348,0
2726.1,351,1
2728.9,329,1
2731.8,300,0
2734.7,304,0
2737.5,345,0
2740.4,348,0
2743.3,348,0
2746.1,327,0
2749,316,0
2751.9,315,1
2754.7,293,0
2757.6,322,1
2760.5,308,0
2763.4,329,1
2766.2,347,0
2769.1,313,1
2772,315,0
2774.8,318,0
2777.7,356,0
2780.6,346,0
2783.4,309,0
2786.3,314,0
2789.2,313,1
2792.1,302,1
2794.9,318,1
2797.8,314,0
2800.7,317,1
2803.5,310,0
2806.4,299,1
2809.3,341,0
2812.1,288,1
2815,329,0
2817.9,316,1
2820.7,288,0
2823.6,332,0
2826.5,295,0
2829.4,309,0
2832.2,318,0
2835.1,301,0
2838,343,0
2840.8,346,0
2843.7,300,0
2846.6,305,0
2849.4,293,0
2852.3,329,0
2855.2,335,0
2858,343,1
2860.9,368,0
2863.8,325,0
2866.7,345,2
2869.5,329,0
2872.4,311,0
2875.3,323,0
2878.1,332,0
2881,309,0
2883.9,311,1
2886.7,309,0
2889.6,298,1
2892.5,296,1
2895.4,301,0
2898.2,305,0
2901.1,300,0
2904,314,1
2906.8,311,1
2909.7,312,1
2912.6,313,1
2915.4,307,0
2918.3,309,0
2921.2,298,0
2924,320,0
2926.9,290,0
2929.8,311,0
2932.7,299,0
2935.5,320,1
2938.4,281,0
2941.3,281,2
2944.1,272,2
2947,283,0
2949.9,260,1
2952.7,281,0
2955.6,273,0
2958.5,283,0
2961.4,283,0
2964.2,276,0
2967.1,305,2
2970,271,0
2972.8,323,0
2975.7,304,0
2978.6,302,0
2981.4,281,0
2984.3,323,1
2987.2,263,0
2990,288,0
2992.9,315,0
2995.8,300,0
2998.7,319,0
3001.5,303,0
3004.4,256,1
3007.3,281,0
3010.1,291,0
3013,298,0
3015.9,310,0
3018.7,292,0
3021.6,296,0
3024.5,300,0
3027.4,296,0
3030.2,270,0
3033.1,292,1
3036,306,0
3038.8,355,0
3041.7,285,0
3044.6,281,1
3047.4,307,2
3050.3,263,1
3053.2,293,0
3056,262,0
3058.9,280,0
3061.8,293,2
3064.7,285,0
3067.5,292,0
3070.4,287,0
3073.3,290,0
3076.1,288,0
3079,281,0
3081.9,298,0
3084.7,295,0
3087.6,281,0
3090.5,268,0
3093.4,315,0
3096.2,285,1
3099.1,266,0
3102,263,1
3104.8,277,0
3107.7,234,0
3110.6,262,0
3113.4,296,0
3116.3,251,1
3119.2,269,0
3122,271,0
3124.9,264,0
3127.8,268,0
3130.7,272,0
3133.5,279,1
3136.4,297,1
3139.3,270,0
3142.1,250,0
3145,307,0
3147.9,260,0
3150.7,288,0
3153.6,284,0
3156.5,266,0
3159.3,276,0
3162.2,298,0
3165.1,280,0
3168,290,1
3170.8,258,0
3173.7,273,0
3176.6,273,0
3179.4,266,0
3182.3,294,1
3185.2,239,1
3188,231,0
3190.9,268,0
3193.8,257,0
3196.7,259,0
3199.5,271,0
3202.4,249,0
3205.3,253,0
3208.1,234,0
3211,282,0
3213.9,255,0
3216.7,252,0
3219.6,240,0
3222.5,231,0
3225.3,266,0
3228.2,270,0
3231.1,243,0
3234,243,0
3236.8,259,1
3239.7,250,0
3242.6,264,1
3245.4,261,0
3248.3,265,2
3251.2,237,0
3254,244,0
3256.9,237,0
3259.8,225,1
3262.7,261,1
3265.5,243,0
3268.4,266,0
3271.3,250,0
3274.1,245,0
3277,264,0
3279.9,256,0
3282.7,243,1
3285.6,229,0
3288.5,248,0
3291.3,266,0
3294.2,244,1
3297.1,258,0
3300,222,0
3302.8,265,0
3305.7,242,2
3308.6,248,0
3311.4,235,1
3314.3,236,1
3317.2,225,0
3320,285,0
3322.9,256,0
3325.8,237,0
3328.7,223,0
3331.5,250,0
3334.4,241,0
3337.3,211,0
3340.1,261,1
3343,214,0
3345.9,217,0
3348.7,266,0
3351.6,252,0
3354.5,279,1
3357.3,233,0
3360.2,223,0
3363.1,229,0
3366,244,0
3368.8,225,1
3371.7,257,0
3374.6,227,0
3377.4,214,0
3380.3,228,0
3383.2,202,0
3386,223,1
3388.9,222,0
3391.8,243,0
3394.7,215,0
3397.5,234,0
3400.4,218,0
3403.3,215,0
3406.1,233,0
3409,209,0
3411.9,230,0
3414.7,221,0
3417.6,225,0
3420.5,259,0
3423.3,226,0
3426.2,232,0
3429.1,227,0
3432,247,0
3434.8,219,1
3437.7,236,0
3440.6,240,0
3443.4,227,0
3446.3,225,0
3449.2,214,0
3452,233,0
3454.9,222,0
3457.8,230,0
3460.7,196,0
3463.5,232,0
3466.4,221,0
3469.3,218,0
3472.1,228,1
3475,251,0
3477.9,206,0
3480.7,195,0
3483.6,219,1
3486.5,230,0
3489.3,223,0
3492.2,200,0
3495.1,227,0
3498,210,0
3500.8,196,0
3503.7,200,0
3506.6,206,0
3509.4,219,0
3512.3,224,1
3515.2,211,0
3518,237,0
3520.9,197,0
3523.8,211,0
3526.6,222,1
3529.5,224,0
3532.4,226,0
3535.3,200,0
3538.1,229,0
3541,201,0
3543.9,215,0
3546.7,186,0
3549.6,208,0
3552.5,174,0
3555.3,205,0
3558.2,178,0
3561.1,217,0
3564,220,0
3566.8,224,0
3569.7,234,0
3572.6,215,0
3575.4,209,0
3578.3,235,0
3581.2,188,0
3584,210,0
3586.9,222,0
3589.8,219,0
3592.6,212,0
3595.5,194,0
3598.4,205,0
3601.3,221,0
3604.1,241,0
3607,196,0
3609.9,200,0
3612.7,195,0
3615.6,212,0
3618.5,210,0
3621.3,211,0
3624.2,212,0
3627.1,198,0
3630,236,0
3632.8,201,0
3635.7,241,0
3638.6,216,0
3641.4,190,0
3644.3,209,0
3647.2,211,1
3650,223,0
3652.9,221,0
3655.8,187,0
3658.6,236,0
3661.5,213,0
3664.4,181,0
3667.3,207,0
3670.1,199,0
3673,196,0
3675.9,201,0
3678.7,200,0
3681.6,185,0
3684.5,205,0
3687.3,225,0
3690.2,216,0
3693.1,177,0
3696,205,0
3698.8,198,0
3701.7,213,0
3704.6,221,0
3707.4,212,0
3710.3,217,0
3713.2,210,0
3716,211,0
3718.9,214,0
3721.8,203,0
3724.6,238,0
3727.5,205,0
3730.4,204,0
3733.3,194,0
3736.1,210,0
3739,192,0
3741.9,195,0
3744.7,216,0
3747.6,227,0
3750.5,201,0
3753.3,215,0
3756.2,202,0
3759.1,185,0
3762,210,0
3764.8,213,1
3767.7,224,0
3770.6,213,0
3773.4,190,0
3776.3,209,0
3779.2,210,0
3782,197,0
3784.9,199,0
3787.8,204,0
3790.6,215,0
3793.5,165,0
3796.4,205,0
3799.3,209,0
3802.1,211,0
3805,221,0
3807.9,166,0
3810.7,213,0
3813.6,199,0
3816.5,208,0
3819.3,186,0
3822.2,193,0
3825.1,213,0
3827.9,231,1
3830.8,207,0
3833.7,211,0
3836.6,193,0
3839.4,204,0
3842.3,197,0
3845.2,175,0
3848,192,0
3850.9,210,0
3853.8,192,0
3856.6,202,2
3859.5,183,0
3862.4,191,0
3865.3,189,0
3868.1,188,0
3871,213,0
3873.9,179,0
3876.7,199,0
3879.6,195,0
3882.5,201,0
3885.3,214,0
3888.2,200,0
3891.1,190,0
3893.9,187,1
3896.8,173,0
3899.7,190,0
3902.6,190,0
3905.4,176,0
3908.3,189,0
3911.2,207,0
3914,202,0
3916.9,160,0
3919.8,185,0
3922.6,180,0
3925.5,205,0
3928.4,189,2
3931.3,168,0
3934.1,181,0
3937,145,0
3939.9,189,0
3942.7,163,0
3945.6,176,0
3948.5,152,0
3951.3,167,0
3954.2,187,0
3957.1,188,0
3959.9,162,0
3962.8,186,0
3965.7,175,1
3968.6,184,0
3971.4,172,0
3974.3,170,0
3977.2,177,0
3980,161,0
3982.9,157,0
3985.8,183,0
3988.6,180,0
3991.5,158,0
3994.4,146,0
3997.3,163,0
4000.1,197,0
4003,139,0
4005.9,151,0
4008.7,151,0
4011.6,151,0
4014.5,144,1
4017.3,164,0
4020.2,146,0
4023.1,137,0
4025.9,155,0
4028.8,157,0
4031.7,127,0
4034.6,140,0
4037.4,134,0
4040.3,148,0
4043.2,159,0
4046,149,0
4048.9,139,0
4051.8,158,0
4054.6,155,0
4057.5,138,0
4060.4,164,0
4063.3,151,0
4066.1,149,0
4069,140,0
4071.9,134,1
4074.7,122,1
4077.6,125,0
4080.5,123,0
4083.3,125,0
4086.2,116,1
4089.1,115,1
4091.9,125,1
4094.8,126,0
4097.7,120,0
4100.6,124,0
4103.4,141,0
4106.3,126,1
4109.2,118,0
4112,119,0
4114.9,109,1
4117.8,99,0
4120.6,94,0
4123.5,94,0
4126.4,106,0
4129.3,82,0
4132.1,104,1
4135,117,0
4137.9,98,0
4140.7,117,0
4143.6,130,0
4146.5,112,1
4149.3,108,0
4152.2,104,0
4155.1,126,0
4157.9,112,0
4160.8,77,0
4163.7,101,0
4166.6,90,0
4169.4,94,0
4172.3,93,0
4175.2,111,0
4178,97,0
4180.9,87,1
4183.8,93,0
4186.6,93,0
4189.5,98,0
4192.4,98,0
4195.2,96,0
4198.1,82,0
4201,112,1
4203.9,72,0
4206.7,89,0
4209.6,78,0
4212.5,105,1
4215.3,86,0
4218.2,89,1
4221.1,76,0
4223.9,74,1
4226.8,99,1
4229.7,70,1
4232.6,81,0
4235.4,76,1
4238.3,76,0
4241.2,74,1
4244,76,1
4246.9,63,0
4249.8,95,0
4252.6,69,0
4255.5,75,0
4258.4,68,0
4261.2,60,0
4264.1,74,0
4267,70,0
4269.9,76,0
4272.7,69,0
4275.6,67,0
4278.5,65,0
4281.3,72,0
4284.2,64,2
4287.1,78,0
4289.9,57,0
4292.8,62,0
4295.7,76,0
4298.6,61,0
4301.4,63,1
4304.3,61,1
4307.2,64,0
4310,59,0
4312.9,51,0
4315.8,55,0
4318.6,65,0
4321.5,62,0
4324.4,68,1
4327.2,58,0
4330.1,62,0
4333,53,0
4335.9,64,1
4338.7,54,0
4341.6,41,0
4344.5,57,0
4347.3,48,0
4350.2,60,0
4353.1,49,0
4355.9,55,0
4358.8,62,0
4361.7,60,1
4364.6,44,0
4367.4,63,0
4370.3,64,0
4373.2,56,0
4376,58,0
4378.9,46,1
4381.8,55,0
4384.6,47,0
4387.5,41,0
4390.4,46,0
4393.2,59,0
4396.1,57,0
4399,49,0
4401.9,56,0
4404.7,62,0
4407.6,33,0
4410.5,44,0
4413.3,43,0
4416.2,52,0
4419.1,61,0
4421.9,49,0
4424.8,47,0
4427.7,48,0
4430.6,41,0
4433.4,52,0
4436.3,50,0
4439.2,42,0
4442,43,0
4444.9,53,0
4447.8,42,0
4450.6,49,0
4453.5,42,0
4456.4,47,0
4459.2,31,0
4462.1,57,0
4465,51,0
4467.9,35,0
4470.7,42,0
4473.6,43,0
4476.5,45,0
4479.3,36,1
4482.2,36,0
4485.1,42,0
4487.9,44,0
4490.8,31,0
4493.7,50,0
4496.5,46,0
4499.4,46,0
4502.3,44,0
4505.2,42,0
4508,39,0
4510.9,58,0
4513.8,41,0
4516.6,44,0
4519.5,45,0
4522.4,29,0
4525.2,43,0
4528.1,36,0
4531,49,0
4533.9,38,0
4536.7,34,0
4539.6,61,0
4542.5,37,0
4545.3,38,0
4548.2,46,0
4551.1,41,0
4553.9,37,0
4556.8,38,0
4559.7,35,0
4562.5,33,0
4565.4,31,0
4568.3,39,0
4571.2,31,0
4574,39,0
4576.9,41,0
4579.8,42,0
4582.6,37,0
4585.5,39,0
4588.4,44,0
4591.2,40,0
4594.1,37,0
4597,38,0
4599.9,34,0
4602.7,32,0
4605.6,53,0
4608.5,34,0
4611.3,33,0
4614.2,36,0
4617.1,39,0
4619.9,36,0
4622.8,38,0
4625.7,40,0
4628.5,33,0
4631.4,29,0
4634.3,44,0
4637.2,41,0
4640,35,0
