n_1,compton,straight
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,1,0
11,3,0
12,0,1
13,1,1
14,3,0
15,5,0
16,2,1
17,0,2
18,1,0
19,2,1
20,2,1
21,6,4
22,2,1
23,0,1
24,3,4
25,5,0
26,2,1
27,2,1
28,2,2
29,2,1
30,0,0
31,1,1
32,2,4
33,3,1
34,5,0
35,1,1
36,0,0
37,4,2
38,1,1
39,1,3
40,2,2
41,3,0
42,3,2
43,0,4
44,0,2
45,2,4
46,0,0
47,3,0
48,2,2
49,2,2
50,0,2
51,2,1
52,3,2
53,2,0
54,1,2
55,1,2
56,2,3
57,2,1
58,3,3
59,1,4
60,1,3
61,2,1
62,3,2
63,3,3
64,2,1
65,1,2
66,4,2
67,2,2
68,1,0
69,2,5
70,2,4
71,1,1
72,1,1
73,0,2
74,2,0
75,1,3
76,1,1
77,1,2
78,0,1
79,5,3
80,2,2
81,3,0
82,4,4
83,2,1
84,4,4
85,0,0
86,3,1
87,2,4
88,2,3
89,4,3
90,2,0
91,3,1
92,4,0
93,2,1
94,3,1
95,3,0
96,1,3
97,6,1
98,1,1
99,2,0
100,2,2
101,5,4
102,1,0
103,1,2
104,4,5
105,4,1
106,2,2
107,4,2
108,1,3
109,1,2
110,3,5
111,1,1
112,3,2
113,3,4
114,1,3
115,8,4
116,0,2
117,3,3
118,3,3
119,4,3
120,4,2
121,3,0
122,4,2
123,6,1
124,2,2
125,1,6
126,4,3
127,2,3
128,5,1
129,2,4
130,5,0
131,1,0
132,1,2
133,0,2
134,3,2
135,2,4
136,2,2
137,5,6
138,2,2
139,5,2
140,2,3
141,1,6
142,5,4
143,2,0
144,1,5
145,3,0
146,10,1
147,0,4
148,3,3
149,5,2
150,1,3
151,4,3
152,1,2
153,1,3
154,3,2
155,3,3
156,2,3
157,5,3
158,3,3
159,4,4
160,4,2
161,6,5
162,8,7
163,1,2
164,0,3
165,4,7
166,5,2
167,4,5
168,4,2
169,1,1
170,2,1
171,4,2
172,3,2
173,4,2
174,6,2
175,3,1
176,5,1
177,5,3
178,2,0
179,3,6
180,4,3
181,4,3
182,1,0
183,3,6
184,2,3
185,6,6
186,6,2
187,3,2
188,4,2
189,4,3
190,2,5
191,5,2
192,9,1
193,2,9
194,6,1
195,2,3
196,2,4
197,7,4
198,5,3
199,5,2
200,4,7
201,5,1
202,5,5
203,8,4
204,3,3
205,3,4
206,6,5
207,2,2
208,4,4
209,3,5
210,9,2
211,8,4
212,3,8
213,4,5
214,4,3
215,6,3
216,7,10
217,5,6
218,6,7
219,10,6
220,4,7
221,6,6
222,5,7
223,6,8
224,5,4
225,12,9
226,13,13
227,9,6
228,11,7
229,8,6
230,9,7
231,12,7
232,8,6
233,9,7
234,7,11
235,9,7
236,8,9
237,8,9
238,10,8
239,11,4
240,7,2
241,7,12
242,13,5
243,5,6
244,11,10
245,4,8
246,8,10
247,11,15
248,14,6
249,8,8
250,17,9
251,8,8
252,7,8
253,7,10
254,9,7
255,11,11
256,6,6
257,8,9
258,10,9
259,7,7
260,5,13
261,9,10
262,10,8
263,16,9
264,8,6
265,9,6
266,6,7
267,8,10
268,8,11
269,4,3
270,9,5
271,5,5
272,8,9
273,11,4
274,10,10
275,6,5
276,14,7
277,5,4
278,8,16
279,7,9
280,5,13
281,8,5
282,9,10
283,7,4
284,9,5
285,7,2
286,8,8
287,4,8
288,7,10
289,5,12
290,8,13
291,6,4
292,5,3
293,7,7
294,7,4
295,12,11
296,6,4
297,4,8
298,9,9
299,5,5
300,5,5
301,5,4
302,8,7
303,7,11
304,9,3
305,6,4
306,6,6
307,4,9
308,5,4
309,10,11
310,2,5
311,7,5
312,8,5
313,4,6
314,6,5
315,11,7
316,4,6
317,8,7
318,6,4
319,6,5
320,10,12
321,6,7
322,5,8
323,8,7
324,7,10
325,5,6
326,10,8
327,8,6
328,9,7
329,9,6
330,6,3
331,9,5
332,11,1
333,4,9
334,4,1
335,8,4
336,6,6
337,6,9
338,7,3
339,7,7
340,6,8
341,9,9
342,9,3
343,6,8
344,4,6
345,5,4
346,7,6
347,7,14
348,3,4
349,3,6
350,5,2
351,8,5
352,9,6
353,17,9
354,8,8
355,11,3
356,4,5
357,8,8
358,8,4
359,13,7
360,9,9
361,7,6
362,6,8
363,5,8
364,6,8
365,5,7
366,6,5
367,8,7
368,7,4
369,3,5
370,8,7
371,6,6
372,5,5
373,5,7
374,3,6
375,7,6
376,6,3
377,6,7
378,4,4
379,6,9
380,2,10
381,9,2
382,6,4
383,6,9
384,8,5
385,6,6
386,5,7
387,4,4
388,6,7
389,13,2
390,5,8
391,4,8
392,10,10
393,5,6
394,6,2
395,7,7
396,11,6
397,7,6
398,3,3
399,5,5
400,3,7
401,5,6
402,15,6
403,5,4
404,5,5
405,7,2
406,6,11
407,5,5
408,4,6
409,5,5
410,7,8
411,11,3
412,6,5
413,6,6
414,4,5
415,15,2
416,3,3
417,4,3
418,8,5
419,9,2
420,4,8
421,2,5
422,7,6
423,6,6
424,4,4
425,7,4
426,3,6
427,4,5
428,7,5
429,2,4
430,7,5
431,2,9
432,5,7
433,6,7
434,5,8
435,5,6
436,4,9
437,11,8
438,4,4
439,10,8
440,3,7
441,8,1
442,9,4
443,11,3
444,7,5
445,6,6
446,9,2
447,11,3
448,5,3
449,8,9
450,6,6
451,14,5
452,10,0
453,2,7
454,5,2
455,5,4
456,3,5
457,5,2
458,4,4
459,7,4
460,2,3
461,2,5
462,4,2
463,9,3
464,2,4
465,6,5
466,3,7
467,3,8
468,5,7
469,3,2
470,4,8
471,6,6
472,5,3
473,5,4
474,9,3
475,5,8
476,8,4
477,4,4
478,5,7
479,4,4
480,8,2
481,5,5
482,8,2
483,8,9
484,8,6
485,4,7
486,5,5
487,7,5
488,9,4
489,11,4
490,8,5
491,7,7
492,4,5
493,4,4
494,7,4
495,5,7
496,3,5
497,4,7
498,2,6
499,4,6
500,8,3
501,4,1
502,4,4
503,8,6
504,2,5
505,2,7
506,6,7
507,9,2
508,6,6
509,4,5
510,6,5
511,4,5
512,5,5
513,2,5
514,3,4
515,5,5
516,11,3
517,6,8
518,3,7
519,4,5
520,5,2
521,3,8
522,4,1
523,6,1
524,4,5
525,5,1
526,1,6
527,4,8
528,3,1
529,6,5
530,4,5
531,5,6
532,3,9
533,5,7
534,6,1
535,8,6
536,1,2
537,5,7
538,1,1
539,5,6
540,4,5
541,6,6
542,3,7
543,6,4
544,5,3
545,5,4
546,7,6
547,3,2
548,5,3
549,4,5
550,6,3
551,5,3
552,14,3
553,9,3
554,7,3
555,4,3
556,7,5
557,6,3
558,5,6
559,2,5
560,4,4
561,5,2
562,4,4
563,7,5
564,6,3
565,2,3
566,5,4
567,5,6
568,5,6
569,5,3
570,5,5
