n_1,compton,straight
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,1
11,1,1
12,0,1
13,0,0
14,1,1
15,3,3
16,1,0
17,2,1
18,1,2
19,1,2
20,1,1
21,4,2
22,2,2
23,1,1
24,0,3
25,2,0
26,0,1
27,1,2
28,1,3
29,1,3
30,2,4
31,1,3
32,3,2
33,0,2
34,1,2
35,2,2
36,1,2
37,1,5
38,2,1
39,0,1
40,1,2
41,0,0
42,1,2
43,1,0
44,1,4
45,3,2
46,2,3
47,3,6
48,1,4
49,1,0
50,2,3
51,0,2
52,4,2
53,2,2
54,2,1
55,2,2
56,1,3
57,1,1
58,4,2
59,0,1
60,1,2
61,2,6
62,0,4
63,7,5
64,0,0
65,1,1
66,1,2
67,0,2
68,4,5
69,1,2
70,2,1
71,1,6
72,0,2
73,3,2
74,0,3
75,3,4
76,2,4
77,3,7
78,3,6
79,1,2
80,3,2
81,2,0
82,0,1
83,2,4
84,1,1
85,0,1
86,0,3
87,3,2
88,2,3
89,3,2
90,3,1
91,1,2
92,2,2
93,1,4
94,3,4
95,3,6
96,1,2
97,1,1
98,3,4
99,2,3
100,3,1
101,3,1
102,4,4
103,2,2
104,1,5
105,3,3
106,1,8
107,1,2
108,1,4
109,2,3
110,4,5
111,1,5
112,7,2
113,2,1
114,1,3
115,0,4
116,4,4
117,5,2
118,1,3
119,1,4
120,2,5
121,2,5
122,4,0
123,1,6
124,0,2
125,4,3
126,2,3
127,5,1
128,1,2
129,1,3
130,5,3
131,3,5
132,3,3
133,4,3
134,2,3
135,5,4
136,1,5
137,4,3
138,1,1
139,1,5
140,3,4
141,2,6
142,1,0
143,3,4
144,1,2
145,5,2
146,1,4
147,7,3
148,6,2
149,2,2
150,4,3
151,6,4
152,1,2
153,4,3
154,5,3
155,4,4
156,2,6
157,2,3
158,6,4
159,3,4
160,6,6
161,5,2
162,3,4
163,5,4
164,1,1
165,2,1
166,4,1
167,1,2
168,3,3
169,3,6
170,2,3
171,0,1
172,4,2
173,1,2
174,2,6
175,0,5
176,1,3
177,4,3
178,3,3
179,2,2
180,1,3
181,10,7
182,6,1
183,2,6
184,2,4
185,3,6
186,3,6
187,1,5
188,2,4
189,1,3
190,4,7
191,3,4
192,0,1
193,7,0
194,5,6
195,4,3
196,3,3
197,3,6
198,4,4
199,5,4
200,9,3
201,4,5
202,8,2
203,1,3
204,3,4
205,5,9
206,1,5
207,8,3
208,5,6
209,6,4
210,1,7
211,7,3
212,4,6
213,4,7
214,7,6
215,5,6
216,5,5
217,4,6
218,7,10
219,8,3
220,10,8
221,4,6
222,9,8
223,6,14
224,4,7
225,10,6
226,5,8
227,8,12
228,8,12
229,10,8
230,5,12
231,11,8
232,6,10
233,3,6
234,4,11
235,8,6
236,10,11
237,8,4
238,7,12
239,5,7
240,8,12
241,6,8
242,3,6
243,7,12
244,7,12
245,8,7
246,13,12
247,9,8
248,9,9
249,5,12
250,10,13
251,9,14
252,9,13
253,5,9
254,4,4
255,8,11
256,6,6
257,7,13
258,9,9
259,5,12
260,10,11
261,5,9
262,13,6
263,8,8
264,3,10
265,4,8
266,9,7
267,7,4
268,6,6
269,4,4
270,11,6
271,9,10
272,5,8
273,8,11
274,11,10
275,6,7
276,8,4
277,11,8
278,7,5
279,6,8
280,10,10
281,11,9
282,11,7
283,7,5
284,5,17
285,6,9
286,8,10
287,10,14
288,4,5
289,4,8
290,8,2
291,6,10
292,9,6
293,8,9
294,10,9
295,9,3
296,11,9
297,7,5
298,5,6
299,7,4
300,9,9
301,6,6
302,6,4
303,5,11
304,9,6
305,4,4
306,7,8
307,6,10
308,6,6
309,6,6
310,6,4
311,5,8
312,2,4
313,5,4
314,6,8
315,6,9
316,9,4
317,11,6
318,8,6
319,8,4
320,5,9
321,4,8
322,11,4
323,9,12
324,7,4
325,9,5
326,8,10
327,5,3
328,8,8
329,7,7
330,5,7
331,4,5
332,3,8
333,6,13
334,5,8
335,9,10
336,8,7
337,3,10
338,4,4
339,8,10
340,6,7
341,11,11
342,5,10
343,5,6
344,7,5
345,11,9
346,7,9
347,5,9
348,3,11
349,3,10
350,14,7
351,6,6
352,10,9
353,10,10
354,4,5
355,6,7
356,5,13
357,8,11
358,6,6
359,10,6
360,5,8
361,3,4
362,4,6
363,5,4
364,9,6
365,5,3
366,4,8
367,5,11
368,2,1
369,8,6
370,7,3
371,6,1
372,5,10
373,4,8
374,8,6
375,3,5
376,2,9
377,5,4
378,7,9
379,4,10
380,5,4
381,14,5
382,5,5
383,1,5
384,5,6
385,8,8
386,5,5
387,3,13
388,5,8
389,7,7
390,4,7
391,5,4
392,3,6
393,4,9
394,4,3
395,8,8
396,7,6
397,6,10
398,9,9
399,8,6
400,3,10
401,6,7
402,4,3
403,4,8
404,6,8
405,4,6
406,8,5
407,8,5
408,8,11
409,6,7
410,7,6
411,4,5
412,7,6
413,6,7
414,2,8
415,7,10
416,7,10
417,6,10
418,6,10
419,0,2
420,8,6
421,11,8
422,5,3
423,4,10
424,8,4
425,6,8
426,6,6
427,7,11
428,8,7
429,4,10
430,4,6
431,4,7
432,7,8
433,7,6
434,7,5
435,3,9
436,9,7
437,5,3
438,6,2
439,3,5
440,5,12
441,6,4
442,6,3
443,2,9
444,6,10
445,2,8
446,5,8
447,3,6
448,3,7
449,3,8
450,6,2
451,4,8
452,4,4
453,10,9
454,9,5
455,6,3
456,10,5
457,6,1
458,7,2
459,2,6
460,8,7
461,5,8
462,4,9
463,2,2
464,6,8
465,3,1
466,0,4
467,6,5
468,5,11
469,5,5
470,4,9
471,4,6
472,3,3
473,4,5
474,4,8
475,4,9
476,6,8
477,9,10
478,4,5
479,6,3
480,2,10
481,6,5
482,4,9
483,6,6
484,4,6
485,6,2
486,7,7
487,9,11
488,4,8
489,6,4
490,5,8
491,4,8
492,8,1
493,5,6
494,6,4
495,8,5
496,2,5
497,7,8
498,6,5
499,6,4
500,6,6
501,2,3
502,4,9
503,7,7
504,5,6
505,5,7
506,5,4
507,6,4
508,7,6
509,5,2
510,2,3
511,6,6
512,5,3
513,8,4
514,6,4
515,9,6
516,3,3
517,4,6
518,4,6
519,3,7
520,2,11
521,3,6
522,0,4
523,5,7
524,5,3
525,4,5
526,8,4
527,5,2
528,6,4
529,3,8
530,4,7
531,2,4
532,7,10
533,1,10
534,6,2
535,4,10
536,8,7
537,7,7
538,3,7
539,6,1
540,7,10
541,2,4
542,8,3
543,5,6
544,1,14
545,2,9
546,2,6
547,1,11
548,5,8
549,5,2
550,8,10
551,4,4
552,8,5
553,4,6
554,3,8
555,4,6
556,5,9
557,2,6
558,4,10
559,2,4
560,9,5
561,5,5
562,5,7
563,7,5
564,2,4
565,2,5
566,6,7
567,5,6
568,3,4
569,7,6
570,10,5
