E_1 / keV,Mo plate cal,Cu straight through calibrate,Unknown - Tungsten (W),Unknown - Ti,Pb, In +  plastic,Tin/Copper,Fe Alloy,Iron Zinc,Pure Iron,Gold (Ganel’s pendant),Iron Nickel,Gold (Ganel’s chain),Nickel (Tulsi’s Ring),inconclusive (Ben’s Ring),Manganin (Cu Mn Ni),Iron (with possible mixing),Stainless steel ,Solder (tin),Nickel-Brass (Ganel’s Key),50 Florint ,10 peso (Copper Zinc),Israel (Copper Zinc Nickel),HK Dollar,5 Euro Cent (primarily copper),Indium,Pure Iron,Pure Nickel
1.78,0,1,0,0,1,0,0,0,3,22,2,9,0,0,1,3,19,9,0,2,4,2,1,5,2,1,78,0
1.83,0,2,1,0,2,0,1,0,4,19,2,26,1,0,0,6,19,9,0,5,7,3,0,2,5,5,79,0
1.88,1,6,0,0,1,0,0,0,7,29,1,19,1,2,1,10,41,14,0,8,3,5,2,4,7,1,107,0
1.93,2,5,2,3,6,2,0,0,8,30,1,26,1,0,0,11,40,14,0,10,2,6,3,2,9,4,89,3
1.98,3,13,0,2,3,0,0,0,4,45,9,39,3,2,0,19,56,18,0,8,1,4,2,4,2,11,110,0
2.03,7,12,3,3,6,0,1,1,16,42,9,31,4,0,0,20,61,29,1,18,2,1,5,4,4,9,120,0
2.07,7,14,4,9,8,0,0,0,9,53,8,37,3,4,0,27,69,33,0,14,3,6,6,2,6,15,145,0
2.12,7,14,3,6,10,1,0,0,12,54,7,39,4,0,0,40,68,26,0,15,9,4,10,3,8,12,142,0
2.17,4,22,8,6,10,0,1,3,19,55,6,48,6,2,0,39,73,45,2,22,4,7,8,4,4,13,152,0
2.22,7,14,4,8,16,1,0,3,16,65,13,50,5,7,0,35,97,33,0,23,6,10,7,8,6,21,164,7
2.27,8,15,6,16,14,1,1,2,12,71,14,74,5,4,0,49,108,43,0,21,4,10,13,5,12,25,199,1
2.32,7,12,8,10,20,0,1,4,11,72,9,69,7,2,0,52,99,35,2,18,5,6,11,8,10,24,182,5
2.37,11,22,8,20,15,0,3,4,10,75,17,82,12,6,1,52,115,59,1,23,5,10,7,7,10,25,193,3
2.42,5,15,13,13,17,2,1,1,23,58,13,73,8,3,1,59,144,53,4,24,6,2,9,6,11,25,167,7
2.47,4,17,9,17,16,2,0,3,19,71,24,66,10,10,2,60,133,47,3,29,6,7,12,9,12,25,205,8
2.52,5,16,6,18,23,1,0,4,21,100,15,88,6,7,4,72,176,74,4,23,5,7,6,8,17,25,210,1
