angle,R_0 / 1/s,R_1 / 1/s,R_2 / 1/s,R_3 / 1/s,R_4 / 1/s,R_5 / 1/s,R_6 / 1/s,R_7 / 1/s,R_8 / 1/s,R_9 / 1/s,R_10 / 1/s,n&l / pm,E / keV,T_1 / %,T_2 / %,T_3 / %,T_4 / %,T_5 / %,T_6 / %,T_7 / %,T_8 / %,T_9 / %,T_10 / %,T_11 / %
6.7,,,,,,,,,,,797.2,65.8,18.8,,,,,,,,,,,
6.8,,,,,,,,,,,803,66.8,18.6,,,,,,,,,,,
6.9,,,,,,,,,,,776,67.8,18.3,,,,,,,,,,,
7,,,,,,,,,,,762.4,68.7,18,,,,,,,,,,,
7.1,,,,,,,,,,,760.6,69.7,17.8,,,,,,,,,,,
7.2,,,,,,,,,,,739.2,70.7,17.5,,,,,,,,,,,
7.3,,,,,,,,,,,760.4,71.7,17.3,,,,,,,,,,,
7.4,,,,,,,,,,,698.8,72.6,17.1,,,,,,,,,,,
7.5,,,,,,,,,,,720.8,73.6,16.8,,,,,,,,,,,
7.6,,,,,,,,,,,712,74.6,16.6,,,,,,,,,,,
7.7,,,,,,,,,,,737.2,75.6,16.4,,,,,,,,,,,
7.8,,,,,,,,,,,703,76.5,16.2,,,,,,,,,,,
7.9,,,,,,,,,,,725.2,77.5,16,,,,,,,,,,,
8,,,,,,,,,,,697.6,78.5,15.8,,,,,,,,,,,
8.1,,,,,,,,,,,681.8,79.5,15.6,,,,,,,,,,,
8.2,,,,,,,,,,,672.4,80.4,15.4,,,,,,,,,,,
8.3,,,,,,,,,,,665.8,81.4,15.2,,,,,,,,,,,
8.4,,,,,,,,,,,602.6,82.4,15,,,,,,,,,,,
8.5,,,,,,,,,,,631.4,83.4,14.9,,,,,,,,,,,
8.6,,,,,,,,,,,627.4,84.3,14.7,,,,,,,,,,,
8.7,,,,,,,,,,,593.8,85.3,14.5,,,,,,,,,,,
8.8,,,,,,,,,,,613.2,86.3,14.4,,,,,,,,,,,
8.9,,,,,,,,,,,624.8,87.3,14.2,,,,,,,,,,,
9,,,,,,,,,,,625.8,88.2,14.1,,,,,,,,,,,
9.1,,,,,,,,,,,614.6,89.2,13.9,,,,,,,,,,,
9.2,,,,,,,,,,,607,90.2,13.7,,,,,,,,,,,
9.3,,,,,,,,,,,603.4,91.1,13.6,,,,,,,,,,,
9.4,,,,,,,,,,,546.2,92.1,13.5,,,,,,,,,,,
9.5,,,,,,,,,,,511.8,93.1,13.3,,,,,,,,,,,
9.6,,,,,,,,,,,482.2,94.1,13.2,,,,,,,,,,,
9.7,,,,,,,,,,,450.6,95,13,,,,,,,,,,,
9.8,,,,,,,,,,,434.4,96,12.9,,,,,,,,,,,
9.9,,,,,,,,,,,407.2,97,12.8,,,,,,,,,,,
10,,,,,,,,,,,395.4,97.9,12.7,,,,,,,,,,,
10.1,,,,,,,,,,,389.4,98.9,12.5,,,,,,,,,,,
10.2,,,,,,,,,,,374.6,99.9,12.4,,,,,,,,,,,
10.3,,,,,,,,,,,354.8,100.8,12.3,,,,,,,,,,,
10.4,,,,,,,,,,,363,101.8,12.2,,,,,,,,,,,
10.5,,,,,,,,,,,373.2,102.8,12.1,,,,,,,,,,,
10.6,,,,,,,,,,,352.4,103.7,12,,,,,,,,,,,
10.7,,,,,,,,,,,369.2,104.7,11.8,,,,,,,,,,,
10.8,,,,,,,,,,,382.6,105.7,11.7,,,,,,,,,,,
10.9,,,,,,,,,,,372.2,106.6,11.6,,,,,,,,,,,
11,,,,,,,,,,,359.6,107.6,11.5,,,,,,,,,,,
11.1,,,,,,,,,,,419.6,108.6,11.4,,,,,,,,,,,
11.2,,,,,,,,,,,397.2,109.5,11.3,,,,,,,,,,,
11.3,,,,,,,,,,,328.8,110.5,11.2,,,,,,,,,,,
11.4,,,,,,,,,,,305.4,111.5,11.1,,,,,,,,,,,
11.5,,,,,,,,,,,298,112.4,11,,,,,,,,,,,
11.6,,,,,,,,,,,311,113.4,10.9,,,,,,,,,,,
11.7,,,,,,,,,,,294.4,114.4,10.8,,,,,,,,,,,
11.8,,,,,,,,,,,283.4,115.3,10.7,,,,,,,,,,,
11.9,,,,,,,,,,,286.2,116.3,10.7,,,,,,,,,,,
12,,,,,,283.8,81,,,,271.4,117.3,10.6,,,,,,,,,,,
12.1,,,,,,300.4,78,,,,272,118.2,10.5,,,,,,,,,,,
12.2,,,,,,274.4,77.8,,,,277,119.2,10.4,,,,,,,,,,,
12.3,,,,,,265.6,75.4,,,,282.2,120.1,10.3,,,,,,,,,,,
12.4,,,,,,274.4,71,,,,258.2,121.1,10.2,,,,,,,,,,,
12.5,,,,,,273.2,62.4,,,,284.4,122.1,10.2,,,,,,,,,,,
12.6,,,,,,366,75.6,,,,374.6,123,10.1,,,,,,,,,,,
12.7,,,,,,399.8,72.2,,,,374.8,124,10,,,,,,,,,,,
12.8,,,,,,341.8,64,,,,336.4,125,9.9,,,,,,,,,,,
12.9,,,,,,324.4,69,,,,314,125.9,9.8,,,,,,,,,,,
13,,,,,,431.8,68.4,,,,435.8,126.9,9.8,,,,,,,,,,,
13.1,,,,,,518.2,73.4,,,,497.2,127.8,9.7,,,,,,,,,,,
13.2,,,,,,372.6,64,,,,351.6,128.8,9.6,,,,,,,,,,,
13.3,,,,,,271,57.6,,,,278.6,129.7,9.6,,,,,,,,,,,
13.4,,,,,,220.2,59,,,,213.8,130.7,9.5,,,,,,,,,,,
13.5,,,,,,218,54.2,,,,206,131.7,9.4,,,,,,,,,,,
13.6,,,,,,198,55.2,,,,188.4,132.6,9.3,,,,,,,,,,,
13.7,,,,,,193.4,55.4,,,,194.4,133.6,9.3,,,,,,,,,,,
13.8,,,,,,186.6,58.2,,,,184.6,134.5,9.2,,,,,,,,,,,
13.9,,,,,,208.8,49.2,,,,190.8,135.5,9.2,,,,,,,,,,,
14,,,,,,238.4,48,,,,233.8,136.4,9.1,,,,,,,,,,,
14.1,,,,,,606.6,58.8,,,,610.6,137.4,9,,,,,,,,,,,
14.2,,,,,,1551.2,98,,,,1519.2,138.4,9,,,,,,,,,,,
14.3,,,,,,1069.8,77.2,,,,1056.4,139.3,8.9,,,,,,,,,,,
14.4,,,,,,483.6,55.8,,,,473.4,140.3,8.8,,,,,,,,,,,
14.5,,,,,,251.6,52.4,,,,250.6,141.2,8.8,,,,,,,,,,,
14.6,,,,,,227.8,47.8,,,,213.4,142.2,8.7,,,,,,,,,,,
14.7,,,,,,218,51,,,,207.8,143.1,8.7,,,,,,,,,,,
14.8,,,,,,205.8,48,,,,190.6,144.1,8.6,,,,,,,,,,,
14.9,,,,,,209.6,43.2,,,,199.8,145,8.5,,,,,,,,,,,
15,,,,,,336.6,51.8,62.8,48,325.8,354.8,146,8.5,,,,,,,,,,,
15.1,,,,,,591,59.8,62,,592,597.2,146.9,8.4,,,,,,,,,,,
15.2,,,,,,447.6,70.2,88.2,,450.6,443.6,147.9,8.4,,,,,,,,,,,
15.3,,,,,,272.8,83.2,96.6,,,252.8,148.8,8.3,,,,,,,,,,,
15.4,,,,,,188.6,92.6,97.6,,,175,149.8,8.3,,,,,,,,,,,
15.5,,,,,,209,104.6,118.4,,,209.4,150.7,8.2,,,,,,,,,,,
15.6,,,,,,403.4,197.8,237.2,,,405.6,151.7,8.2,,,,,,,,,,,
15.7,,,,,,1742.4,910.6,1205.2,,,,152.6,8.1,,,,,,,,,,,
15.8,,,,,,3835,2301,2482,,,,153.6,8.1,,,,,,,,,,,
15.9,,,,,,2980.2,1748,1669.2,,,,154.5,8,,,,,,,,,,,
16,,,,,,1098.6,608,498.8,,,,155.5,8,,,,,,,,,,,
16.1,,,,,,188.2,105.8,93.4,,,,156.4,7.9,,,,,,,,,,,
16.2,,,,,,144,70,76.6,,,,157.4,7.9,,,,,,,,,,,
16.3,,,,,,122.4,62.4,67.6,,,,158.3,7.8,,,,,,,,,,,
16.4,,,,,,128.4,59.4,65.2,,,,159.2,7.8,,,,,,,,,,,
16.5,,,,,,119,57.2,63.2,,,,160.2,7.7,,,,,,,,,,,
16.6,,,,,,115.6,61.6,58,,,,161.1,7.7,,,,,,,,,,,
16.7,,,,,,125.6,52.2,52.4,,,,162.1,7.6,,,,,,,,,,,
16.8,,,,,,107.4,48,52.8,,,,163,7.6,,,,,,,,,,,
16.9,,,,,,113,53.6,48.8,,,,164,7.6,,,,,,,,,,,
17,,,,,,105.6,46,48,,,,164.9,7.5,,,,,,,,,,,
17.1,,,,,,110,40.6,43.6,,,,165.8,7.5,,,,,,,,,,,
17.2,,,,,,107.6,52.2,45.4,,,,166.8,7.4,,,,,,,,,,,
17.3,,,,,,96.6,44.4,46,,,,167.7,7.4,,,,,,,,,,,
17.4,,,,,,110.4,39,42.6,,,,168.7,7.4,,,,,,,,,,,
17.5,,,,,,105,,,,,,169.6,7.3,,,,,,,,,,,
17.6,,,,,,91,,,,,,170.5,7.3,,,,,,,,,,,
17.7,,,,,,92.4,,,,,,171.5,7.2,,,,,,,,,,,
